customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
C-ADV-00038,6,39,1193.56,5,5,3,13,Champions
C-ADV-00039,91,14,884.31,1,2,3,6,Hibernating
C-ADV-00040,15,35,2105.0099999999998,4,5,4,13,Champions
C-ADV-00041,102,8,359.4,1,1,1,3,Hibernating
C-ADV-00042,25,22,3095.74,3,4,5,12,Loyal Customers
C-ADV-00043,59,16,1410.02,2,3,4,9,Others
C-ADV-00044,136,5,2413.94,1,1,4,6,Hibernating
C-ADV-00045,9,21,4320.05,4,4,5,13,Champions
C-ADV-00046,87,19,763.89,1,4,3,8,At Risk (Big Spenders)
C-ADV-00047,2,6,1050.1100000000001,5,1,3,9,Promising (New)
C-ADV-00048,6,29,453.38,5,5,2,12,Champions
C-ADV-00049,12,11,1432.62,4,2,4,10,Promising (New)
C-ADV-00050,46,8,373.33000000000004,2,1,1,4,Hibernating
C-ADV-00051,18,11,836.22,3,2,3,8,Others
C-ADV-00052,44,8,1375.54,2,1,4,7,Hibernating
C-ADV-00053,81,6,148.11,1,1,1,3,Hibernating
C-ADV-00054,14,20,7638.28,4,4,5,13,Champions
C-ADV-00055,14,16,301.12,4,3,1,8,Loyal Customers
C-ADV-00056,15,23,7616.76,4,4,5,13,Champions
C-ADV-00057,41,5,558.68,2,1,2,5,Hibernating
C-ADV-00058,5,24,625.14,5,4,2,11,Champions
C-ADV-00059,11,22,978.9300000000001,4,4,3,11,Champions
C-ADV-00060,36,15,11760.67,2,3,5,10,Others
C-ADV-00061,110,10,781.97,1,2,3,6,Hibernating
C-ADV-00062,64,23,5546.19,1,4,5,10,At Risk (Big Spenders)
C-ADV-00063,82,5,164.13,1,1,1,3,Hibernating
C-ADV-00064,31,23,857.57,3,4,3,10,Loyal Customers
C-ADV-00065,86,12,1173.05,1,2,3,6,Hibernating
C-ADV-00066,68,9,121.84,1,1,1,3,Hibernating
C-ADV-00067,3,6,317.75,5,1,1,7,Promising (New)
C-ADV-00068,11,28,2238.72,4,5,4,13,Champions
C-ADV-00069,9,22,1085.8799999999999,4,4,3,11,Champions
C-ADV-00070,31,15,6877.75,3,3,5,11,Loyal Customers
C-ADV-00071,2,32,756.67,5,5,3,13,Champions
C-ADV-00072,31,20,782.71,3,4,3,10,Loyal Customers
C-ADV-00073,9,14,936.23,4,2,3,9,Promising (New)
C-ADV-00074,25,13,590.52,3,2,2,7,Others
C-ADV-00075,8,21,1811.84,5,4,4,13,Champions
C-ADV-00076,38,28,998.15,2,5,3,10,At Risk (Big Spenders)
C-ADV-00077,10,22,6402.03,4,4,5,13,Champions
C-ADV-00078,19,15,3879.2000000000003,3,3,5,11,Loyal Customers
C-ADV-00079,19,23,2444.9,3,4,4,11,Loyal Customers
C-ADV-00080,30,14,1088.66,3,2,3,8,Others
C-ADV-00081,59,22,710.2,2,4,2,8,At Risk (Big Spenders)
C-ADV-00082,21,28,6302.98,3,5,5,13,Loyal Customers
C-ADV-00083,67,17,492.0,1,3,2,6,Others
C-ADV-00084,1,21,196.92,5,4,1,10,Champions
C-ADV-00085,74,22,2616.09,1,4,4,9,At Risk (Big Spenders)
C-ADV-00086,18,15,974.05,3,3,3,9,Loyal Customers
C-ADV-00087,31,26,6890.05,3,5,5,13,Loyal Customers
C-ADV-00088,30,16,1005.77,3,3,3,9,Loyal Customers
C-ADV-00089,9,17,1188.67,4,3,3,10,Loyal Customers
C-ADV-00090,18,21,358.65999999999997,3,4,1,8,Loyal Customers
C-ADV-00091,2,31,7795.41,5,5,5,15,Champions
C-ADV-00092,13,11,894.84,4,2,3,9,Promising (New)
C-ADV-00093,3,26,4804.06,5,5,5,15,Champions
C-ADV-00094,5,23,256.58,5,4,1,10,Champions
C-ADV-00095,8,27,3773.8,5,5,5,15,Champions
C-ADV-00096,60,11,765.3199999999999,2,2,3,7,Hibernating
C-ADV-00097,8,21,1189.06,5,4,3,12,Champions
C-ADV-00098,18,32,729.49,3,5,2,10,Loyal Customers
C-ADV-00099,54,21,3639.89,2,4,5,11,At Risk (Big Spenders)
C-ADV-00100,5,16,430.56,5,3,2,10,Loyal Customers
C-ADV-00101,94,13,271.73,1,2,1,4,Hibernating
C-ADV-00102,7,31,3755.92,5,5,5,15,Champions
C-ADV-00103,17,26,1468.35,4,5,4,13,Champions
C-ADV-00104,222,11,8139.83,1,2,5,8,Hibernating
C-ADV-00105,351,7,426.15,1,1,2,4,Hibernating
C-ADV-00106,33,28,719.5,2,5,2,9,At Risk (Big Spenders)
C-ADV-00107,14,27,2052.25,4,5,4,13,Champions
C-ADV-00108,23,16,419.96,3,3,2,8,Loyal Customers
C-ADV-00109,26,11,1837.08,3,2,4,9,Others
C-ADV-00110,14,9,311.73,4,1,1,6,Promising (New)
C-ADV-00111,1,33,563.79,5,5,2,12,Champions
C-ADV-00112,22,24,1260.49,3,4,3,10,Loyal Customers
C-ADV-00113,15,13,1073.62,4,2,3,9,Promising (New)
C-ADV-00114,5,9,546.04,5,1,2,8,Promising (New)
C-ADV-00115,99,9,704.0,1,1,2,4,Hibernating
C-ADV-00116,55,16,538.49,2,3,2,7,Others
C-ADV-00117,8,18,1463.77,5,3,4,12,Loyal Customers
C-ADV-00118,4,12,1161.77,5,2,3,10,Promising (New)
C-ADV-00119,15,10,1621.96,4,2,4,10,Promising (New)
C-ADV-00120,20,10,1506.01,3,2,4,9,Others
C-ADV-00121,318,3,423.65,1,1,2,4,Hibernating
C-ADV-00122,86,10,3403.4,1,2,5,8,Hibernating
C-ADV-00123,34,22,2274.19,2,4,4,10,At Risk (Big Spenders)
C-ADV-00124,6,25,2318.9700000000003,5,5,4,14,Champions
C-ADV-00125,25,25,240.22,3,5,1,9,Loyal Customers
C-ADV-00126,6,22,1644.29,5,4,4,13,Champions
C-ADV-00127,9,35,546.0,4,5,2,11,Champions
C-ADV-00128,64,23,5594.91,1,4,5,10,At Risk (Big Spenders)
C-ADV-00129,178,15,2050.15,1,3,4,8,Others
C-ADV-00130,14,8,914.83,4,1,3,8,Promising (New)
C-ADV-00131,15,25,1286.47,4,5,3,12,Champions
C-ADV-00132,20,9,344.91,3,1,1,5,Others
C-ADV-00133,26,14,435.13,3,2,2,7,Others
C-ADV-00134,14,6,802.0,4,1,3,8,Promising (New)
C-ADV-00135,7,22,16456.71,5,4,5,14,Champions
C-ADV-00136,43,11,1611.47,2,2,4,8,Hibernating
C-ADV-00137,59,8,2181.69,2,1,4,7,Hibernating
C-ADV-00138,45,11,1551.19,2,2,4,8,Hibernating
C-ADV-00139,15,14,966.99,4,2,3,9,Promising (New)
C-ADV-00140,59,9,69.72,2,1,1,4,Hibernating
C-ADV-00141,11,12,610.4200000000001,4,2,2,8,Promising (New)
C-ADV-00142,70,8,135.3,1,1,1,3,Hibernating
C-ADV-00143,75,13,664.91,1,2,2,5,Hibernating
C-ADV-00144,74,9,644.14,1,1,2,4,Hibernating
C-ADV-00145,2,15,542.18,5,3,2,10,Loyal Customers
C-ADV-00146,1,8,221.74,5,1,1,7,Promising (New)
C-ADV-00147,92,10,2182.97,1,2,4,7,Hibernating
C-ADV-00148,89,5,241.0,1,1,1,3,Hibernating
C-ADV-00149,71,8,1586.8200000000002,1,1,4,6,Hibernating
C-ADV-00150,25,31,960.91,3,5,3,11,Loyal Customers
C-ADV-00151,14,13,555.41,4,2,2,8,Promising (New)
C-ADV-00152,85,12,1047.52,1,2,3,6,Hibernating
C-ADV-00153,80,9,860.46,1,1,3,5,Hibernating
C-ADV-00154,25,12,382.71999999999997,3,2,1,6,Others
C-ADV-00155,97,6,54.410000000000004,1,1,1,3,Hibernating
C-ADV-00156,61,21,1487.17,2,4,4,10,At Risk (Big Spenders)
C-ADV-00157,127,13,218.21,1,2,1,4,Hibernating
C-ADV-00158,81,30,2296.55,1,5,4,10,At Risk (Big Spenders)
C-ADV-00159,11,21,4371.08,4,4,5,13,Champions
C-ADV-00160,100,14,5004.81,1,2,5,8,Hibernating
C-ADV-00161,210,5,568.59,1,1,2,4,Hibernating
C-ADV-00162,109,18,1774.6100000000001,1,3,4,8,Others
C-ADV-00163,1,17,436.41,5,3,2,10,Loyal Customers
C-ADV-00164,11,35,3013.11,4,5,5,14,Champions
C-ADV-00165,4,12,2369.67,5,2,4,11,Promising (New)
C-ADV-00166,161,9,408.65000000000003,1,1,2,4,Hibernating
C-ADV-00167,16,9,1268.81,4,1,3,8,Promising (New)
C-ADV-00168,78,36,7536.8,1,5,5,11,At Risk (Big Spenders)
C-ADV-00169,34,15,1505.67,2,3,4,9,Others
C-ADV-00170,25,13,2602.42,3,2,4,9,Others
C-ADV-00171,35,16,1487.84,2,3,4,9,Others
C-ADV-00172,59,20,1977.96,2,4,4,10,At Risk (Big Spenders)
C-ADV-00173,4,12,1399.95,5,2,4,11,Promising (New)
C-ADV-00174,40,8,138.96,2,1,1,4,Hibernating
C-ADV-00175,4,18,798.37,5,3,3,11,Loyal Customers
C-ADV-00176,92,12,452.99,1,2,2,5,Hibernating
C-ADV-00177,5,21,3616.63,5,4,5,14,Champions
C-ADV-00178,20,22,4962.09,3,4,5,12,Loyal Customers
C-ADV-00179,76,4,175.32,1,1,1,3,Hibernating
C-ADV-00180,134,10,480.25,1,2,2,5,Hibernating
C-ADV-00181,33,12,409.56,2,2,2,6,Hibernating
C-ADV-00182,22,8,518.45,3,1,2,6,Others
C-ADV-00183,83,8,1220.55,1,1,3,5,Hibernating
C-ADV-00184,121,18,632.86,1,3,2,6,Others
C-ADV-00185,18,13,3165.75,3,2,5,10,Others
C-ADV-00186,3,20,1895.93,5,4,4,13,Champions
C-ADV-00187,14,13,191.20000000000002,4,2,1,7,Promising (New)
C-ADV-00188,79,9,1361.6599999999999,1,1,4,6,Hibernating
C-ADV-00189,5,24,634.7,5,4,2,11,Champions
C-ADV-00190,7,30,3740.76,5,5,5,15,Champions
C-ADV-00191,32,9,2306.3,2,1,4,7,Hibernating
C-ADV-00192,101,21,255.09,1,4,1,6,At Risk (Big Spenders)
C-ADV-00193,45,16,3090.52,2,3,5,10,Others
C-ADV-00194,10,16,2812.95,4,3,5,12,Loyal Customers
C-ADV-00195,79,30,2273.73,1,5,4,10,At Risk (Big Spenders)
C-ADV-00196,23,10,528.43,3,2,2,7,Others
C-ADV-00197,18,15,1122.72,3,3,3,9,Loyal Customers
C-ADV-00198,27,30,2803.92,3,5,5,13,Loyal Customers
C-ADV-00199,82,12,1078.56,1,2,3,6,Hibernating
C-ADV-00200,41,15,751.27,2,3,2,7,Others
C-ADV-00201,43,11,190.07,2,2,1,5,Hibernating
C-ADV-00202,38,23,1295.06,2,4,3,9,At Risk (Big Spenders)
C-ADV-00203,44,3,1557.06,2,1,4,7,Hibernating
C-ADV-00204,62,10,2133.58,2,2,4,8,Hibernating
C-ADV-00205,34,21,1262.56,2,4,3,9,At Risk (Big Spenders)
C-ADV-00206,5,7,974.82,5,1,3,9,Promising (New)
C-ADV-00207,5,23,6311.91,5,4,5,14,Champions
C-ADV-00208,11,22,2974.04,4,4,5,13,Champions
C-ADV-00209,2,16,4018.41,5,3,5,13,Loyal Customers
C-ADV-00210,6,24,2582.41,5,4,4,13,Champions
C-ADV-00211,17,9,137.56,4,1,1,6,Promising (New)
C-ADV-00212,152,6,340.36,1,1,1,3,Hibernating
C-ADV-00213,6,19,108.57,5,4,1,10,Champions
C-ADV-00214,31,30,1884.67,3,5,4,12,Loyal Customers
C-ADV-00215,175,10,173.79,1,2,1,4,Hibernating
C-ADV-00216,10,14,403.62,4,2,2,8,Promising (New)
C-ADV-00217,49,20,972.33,2,4,3,9,At Risk (Big Spenders)
C-ADV-00218,13,18,1737.94,4,3,4,11,Loyal Customers
C-ADV-00219,6,11,454.73,5,2,2,9,Promising (New)
C-ADV-00220,15,16,1233.59,4,3,3,10,Loyal Customers
C-ADV-00221,27,12,422.33,3,2,2,7,Others
C-ADV-00222,4,12,312.02,5,2,1,8,Promising (New)
C-ADV-00223,10,14,7248.16,4,2,5,11,Promising (New)
C-ADV-00224,17,30,3456.33,4,5,5,14,Champions
C-ADV-00225,16,26,1059.31,4,5,3,12,Champions
C-ADV-00226,9,39,21497.43,4,5,5,14,Champions
C-ADV-00227,21,26,3580.47,3,5,5,13,Loyal Customers
C-ADV-00228,164,8,163.09,1,1,1,3,Hibernating
C-ADV-00229,110,9,337.75,1,1,1,3,Hibernating
C-ADV-00230,12,8,406.78,4,1,2,7,Promising (New)
C-ADV-00231,1,21,5026.89,5,4,5,14,Champions
C-ADV-00232,31,6,412.02,3,1,2,6,Others
C-ADV-00233,109,4,160.33,1,1,1,3,Hibernating
C-ADV-00234,26,34,2965.58,3,5,5,13,Loyal Customers
C-ADV-00235,19,6,326.28,3,1,1,5,Others
C-ADV-00236,92,11,2279.85,1,2,4,7,Hibernating
C-ADV-00237,57,17,781.36,2,3,3,8,Others
C-ADV-00238,43,12,451.22,2,2,2,6,Hibernating
C-ADV-00239,31,22,3523.27,3,4,5,12,Loyal Customers
C-ADV-00240,14,35,42564.49,4,5,5,14,Champions
C-ADV-00241,8,31,1130.54,5,5,3,13,Champions
C-ADV-00242,7,25,639.71,5,5,2,12,Champions
C-ADV-00243,65,16,1282.06,1,3,3,7,Others
C-ADV-00244,3,24,2822.35,5,4,5,14,Champions
C-ADV-00245,18,28,2724.13,3,5,5,13,Loyal Customers
C-ADV-00246,13,23,2384.22,4,4,4,12,Champions
C-ADV-00247,41,14,277.85,2,2,1,5,Hibernating
C-ADV-00248,35,18,1461.9,2,3,4,9,Others
C-ADV-00249,20,11,185.71,3,2,1,6,Others
C-ADV-00250,34,7,140.49,2,1,1,4,Hibernating
C-ADV-00251,151,9,1509.72,1,1,4,6,Hibernating
C-ADV-00252,95,14,975.3000000000001,1,2,3,6,Hibernating
C-ADV-00253,122,10,2299.98,1,2,4,7,Hibernating
C-ADV-00254,5,22,2182.27,5,4,4,13,Champions
C-ADV-00255,61,10,199.12,2,2,1,5,Hibernating
C-ADV-00256,70,14,1459.69,1,2,4,7,Hibernating
C-ADV-00257,368,6,776.54,1,1,3,5,Hibernating
C-ADV-00258,82,5,486.52,1,1,2,4,Hibernating
C-ADV-00259,79,18,4770.47,1,3,5,9,Others
C-ADV-00260,43,19,980.65,2,4,3,9,At Risk (Big Spenders)
C-ADV-00261,82,29,11459.99,1,5,5,11,At Risk (Big Spenders)
C-ADV-00262,67,11,1371.24,1,2,4,7,Hibernating
C-ADV-00263,46,17,1536.23,2,3,4,9,Others
C-ADV-00264,6,39,1896.25,5,5,4,14,Champions
C-ADV-00265,48,17,989.8100000000001,2,3,3,8,Others
C-ADV-00266,2,8,685.39,5,1,2,8,Promising (New)
C-ADV-00267,77,21,7424.37,1,4,5,10,At Risk (Big Spenders)
C-ADV-00268,22,16,1519.4,3,3,4,10,Loyal Customers
C-ADV-00269,108,14,955.17,1,2,3,6,Hibernating
C-ADV-00270,32,12,421.38,2,2,2,6,Hibernating
C-ADV-00271,2,16,255.32000000000002,5,3,1,9,Loyal Customers
C-ADV-00272,39,10,1312.28,2,2,3,7,Hibernating
C-ADV-00273,36,32,2049.38,2,5,4,11,At Risk (Big Spenders)
C-ADV-00274,35,7,2625.17,2,1,4,7,Hibernating
C-ADV-00275,60,10,1191.12,2,2,3,7,Hibernating
C-ADV-00276,213,11,1647.65,1,2,4,7,Hibernating
C-ADV-00277,16,30,2280.31,4,5,4,13,Champions
C-ADV-00278,23,22,594.93,3,4,2,9,Loyal Customers
C-ADV-00279,70,3,332.57,1,1,1,3,Hibernating
C-ADV-00280,39,18,836.84,2,3,3,8,Others
C-ADV-00281,18,22,1680.58,3,4,4,11,Loyal Customers
C-ADV-00282,5,12,295.19,5,2,1,8,Promising (New)
C-ADV-00283,53,21,2176.79,2,4,4,10,At Risk (Big Spenders)
C-ADV-00284,5,33,183.74,5,5,1,11,Champions
C-ADV-00285,2,20,1198.84,5,4,3,12,Champions
C-ADV-00286,13,22,83.45,4,4,1,9,Champions
C-ADV-00287,33,27,3399.91,2,5,5,12,At Risk (Big Spenders)
C-ADV-00288,31,9,334.85,3,1,1,5,Others
C-ADV-00289,9,15,812.18,4,3,3,10,Loyal Customers
C-ADV-00290,21,11,1156.28,3,2,3,8,Others
C-ADV-00291,46,12,751.5,2,2,3,7,Hibernating
C-ADV-00292,53,5,126.57,2,1,1,4,Hibernating
C-ADV-00293,22,24,1309.32,3,4,3,10,Loyal Customers
C-ADV-00294,31,27,1711.34,3,5,4,12,Loyal Customers
C-ADV-00295,38,19,1770.49,2,4,4,10,At Risk (Big Spenders)
C-ADV-00296,60,10,208.97,2,2,1,5,Hibernating
C-ADV-00297,1,18,7058.26,5,3,5,13,Loyal Customers
C-ADV-00298,7,21,4639.68,5,4,5,14,Champions
C-ADV-00299,42,9,388.07,2,1,2,5,Hibernating
C-ADV-00300,26,11,772.04,3,2,3,8,Others
C-ADV-00301,34,24,765.12,2,4,3,9,At Risk (Big Spenders)
C-ADV-00302,4,12,1061.7,5,2,3,10,Promising (New)
C-ADV-00303,40,21,471.14,2,4,2,8,At Risk (Big Spenders)
C-ADV-00304,7,18,1619.88,5,3,4,12,Loyal Customers
C-ADV-00305,63,9,265.12,1,1,1,3,Hibernating
C-ADV-00306,7,9,1372.92,5,1,4,10,Promising (New)
C-ADV-00307,22,31,5361.86,3,5,5,13,Loyal Customers
C-ADV-00308,46,19,627.55,2,4,2,8,At Risk (Big Spenders)
C-ADV-00309,37,27,287.89,2,5,1,8,At Risk (Big Spenders)
C-ADV-00310,3,19,1473.74,5,4,4,13,Champions
C-ADV-00311,1,11,436.85,5,2,2,9,Promising (New)
C-ADV-00312,16,26,4344.78,4,5,5,14,Champions
C-ADV-00313,7,21,397.51,5,4,2,11,Champions
C-ADV-00314,12,14,929.27,4,2,3,9,Promising (New)
C-ADV-00315,130,4,1516.42,1,1,4,6,Hibernating
C-ADV-00316,94,3,268.01,1,1,1,3,Hibernating
C-ADV-00317,5,25,535.22,5,5,2,12,Champions
C-ADV-00318,5,27,7467.54,5,5,5,15,Champions
C-ADV-00319,344,10,1038.54,1,2,3,6,Hibernating
C-ADV-00320,41,18,283.08,2,3,1,6,Others
C-ADV-00321,43,7,312.49,2,1,1,4,Hibernating
C-ADV-00322,3,23,267.68,5,4,1,10,Champions
C-ADV-00323,6,36,8900.9,5,5,5,15,Champions
C-ADV-00324,6,22,1824.21,5,4,4,13,Champions
C-ADV-00325,64,5,1321.1299999999999,1,1,4,6,Hibernating
C-ADV-00326,107,9,1780.25,1,1,4,6,Hibernating
C-ADV-00327,79,10,3040.54,1,2,5,8,Hibernating
C-ADV-00328,2,19,2077.71,5,4,4,13,Champions
C-ADV-00329,5,11,4751.55,5,2,5,12,Promising (New)
C-ADV-00330,102,12,2651.43,1,2,4,7,Hibernating
C-ADV-00331,319,3,82.42999999999999,1,1,1,3,Hibernating
C-ADV-00332,185,9,1596.3899999999999,1,1,4,6,Hibernating
C-ADV-00333,63,15,548.78,1,3,2,6,Others
C-ADV-00334,10,8,36.32,4,1,1,6,Promising (New)
C-ADV-00335,5,17,1993.31,5,3,4,12,Loyal Customers
C-ADV-00336,3,20,549.99,5,4,2,11,Champions
C-ADV-00337,60,9,990.99,2,1,3,6,Hibernating
C-ADV-00338,87,8,218.19,1,1,1,3,Hibernating
C-ADV-00339,2,30,4373.18,5,5,5,15,Champions
C-ADV-00340,44,15,990.08,2,3,3,8,Others
C-ADV-00341,228,8,150.89,1,1,1,3,Hibernating
C-ADV-00342,176,3,71.49,1,1,1,3,Hibernating
C-ADV-00343,29,15,380.75,3,3,1,7,Loyal Customers
C-ADV-00344,102,15,711.09,1,3,2,6,Others
C-ADV-00345,25,24,1673.93,3,4,4,11,Loyal Customers
C-ADV-00346,31,8,347.96,3,1,1,5,Others
C-ADV-00347,65,26,11919.59,1,5,5,11,At Risk (Big Spenders)
C-ADV-00348,26,28,1012.05,3,5,3,11,Loyal Customers
C-ADV-00349,14,21,542.37,4,4,2,10,Champions
C-ADV-00350,12,8,308.78000000000003,4,1,1,6,Promising (New)
C-ADV-00351,37,17,1095.96,2,3,3,8,Others
C-ADV-00352,144,11,3204.87,1,2,5,8,Hibernating
C-ADV-00353,60,11,206.21,2,2,1,5,Hibernating
C-ADV-00354,12,14,2323.89,4,2,4,10,Promising (New)
C-ADV-00355,76,14,407.39,1,2,2,5,Hibernating
C-ADV-00356,5,23,847.45,5,4,3,12,Champions
C-ADV-00357,9,18,2032.57,4,3,4,11,Loyal Customers
C-ADV-00358,77,8,867.02,1,1,3,5,Hibernating
C-ADV-00359,74,23,2446.9900000000002,1,4,4,9,At Risk (Big Spenders)
C-ADV-00360,20,7,2361.81,3,1,4,8,Others
C-ADV-00361,50,19,833.34,2,4,3,9,At Risk (Big Spenders)
C-ADV-00362,8,15,822.48,5,3,3,11,Loyal Customers
C-ADV-00363,93,7,206.54999999999998,1,1,1,3,Hibernating
C-ADV-00364,37,8,287.75,2,1,1,4,Hibernating
C-ADV-00365,27,7,403.32,3,1,2,6,Others
C-ADV-00366,210,3,229.42,1,1,1,3,Hibernating
C-ADV-00367,24,26,6201.73,3,5,5,13,Loyal Customers
C-ADV-00368,13,9,1913.74,4,1,4,9,Promising (New)
C-ADV-00369,21,28,1079.79,3,5,3,11,Loyal Customers
C-ADV-00370,12,34,4558.13,4,5,5,14,Champions
C-ADV-00371,18,17,847.53,3,3,3,9,Loyal Customers
C-ADV-00372,53,11,843.75,2,2,3,7,Hibernating
C-ADV-00373,17,29,1905.82,4,5,4,13,Champions
C-ADV-00374,70,11,1034.96,1,2,3,6,Hibernating
C-ADV-00375,10,24,4886.47,4,4,5,13,Champions
C-ADV-00376,3,21,590.58,5,4,2,11,Champions
C-ADV-00377,45,19,835.2,2,4,3,9,At Risk (Big Spenders)
C-ADV-00378,105,6,621.52,1,1,2,4,Hibernating
C-ADV-00379,7,21,1183.23,5,4,3,12,Champions
C-ADV-00380,34,19,699.95,2,4,2,8,At Risk (Big Spenders)
C-ADV-00381,38,21,2156.56,2,4,4,10,At Risk (Big Spenders)
C-ADV-00382,47,16,1928.53,2,3,4,9,Others
C-ADV-00383,8,38,432.65,5,5,2,12,Champions
C-ADV-00384,4,20,4667.93,5,4,5,14,Champions
C-ADV-00385,42,27,376.65,2,5,1,8,At Risk (Big Spenders)
C-ADV-00386,65,9,1399.29,1,1,4,6,Hibernating
C-ADV-00387,119,13,489.53,1,2,2,5,Hibernating
C-ADV-00388,95,16,156.08,1,3,1,5,Others
C-ADV-00389,29,6,304.84,3,1,1,5,Others
C-ADV-00390,94,8,8683.06,1,1,5,7,Hibernating
C-ADV-00391,14,10,476.43,4,2,2,8,Promising (New)
C-ADV-00392,26,8,1360.73,3,1,4,8,Others
C-ADV-00393,43,19,1766.66,2,4,4,10,At Risk (Big Spenders)
C-ADV-00394,17,15,538.03,4,3,2,9,Loyal Customers
C-ADV-00395,15,12,4175.39,4,2,5,11,Promising (New)
C-ADV-00396,20,29,204.98,3,5,1,9,Loyal Customers
C-ADV-00397,11,18,1033.94,4,3,3,10,Loyal Customers
C-ADV-00398,49,8,2104.4,2,1,4,7,Hibernating
C-ADV-00399,66,16,2879.96,1,3,5,9,Others
C-ADV-00400,42,20,740.45,2,4,2,8,At Risk (Big Spenders)
C-ADV-00401,1,18,793.2,5,3,3,11,Loyal Customers
C-ADV-00402,3,27,4237.12,5,5,5,15,Champions
C-ADV-00403,28,22,467.49,3,4,2,9,Loyal Customers
C-ADV-00404,25,25,6843.83,3,5,5,13,Loyal Customers
C-ADV-00405,13,19,3103.29,4,4,5,13,Champions
C-ADV-00406,227,2,239.48000000000002,1,1,1,3,Hibernating
C-ADV-00407,21,11,509.18,3,2,2,7,Others
C-ADV-00408,77,20,1327.51,1,4,4,9,At Risk (Big Spenders)
C-ADV-00409,114,14,2690.09,1,2,4,7,Hibernating
C-ADV-00410,64,21,768.53,1,4,3,8,At Risk (Big Spenders)
C-ADV-00411,6,15,683.33,5,3,2,10,Loyal Customers
C-ADV-00412,72,20,815.4,1,4,3,8,At Risk (Big Spenders)
C-ADV-00413,2,7,1015.95,5,1,3,9,Promising (New)
C-ADV-00414,28,20,302.58,3,4,1,8,Loyal Customers
C-ADV-00415,11,7,811.26,4,1,3,8,Promising (New)
C-ADV-00416,6,28,771.55,5,5,3,13,Champions
C-ADV-00417,53,17,145.48,2,3,1,6,Others
C-ADV-00418,4,23,477.39,5,4,2,11,Champions
C-ADV-00419,6,9,4969.86,5,1,5,11,Promising (New)
C-ADV-00420,56,17,267.97,2,3,1,6,Others
C-ADV-00421,27,15,1422.08,3,3,4,10,Loyal Customers
C-ADV-00422,28,11,681.96,3,2,2,7,Others
C-ADV-00423,131,7,454.93,1,1,2,4,Hibernating
C-ADV-00424,17,11,925.92,4,2,3,9,Promising (New)
C-ADV-00425,409,2,173.81,1,1,1,3,Hibernating
C-ADV-00426,11,27,5872.16,4,5,5,14,Champions
C-ADV-00427,13,11,36.83,4,2,1,7,Promising (New)
C-ADV-00428,7,31,1346.74,5,5,4,14,Champions
C-ADV-00429,91,14,2136.02,1,2,4,7,Hibernating
C-ADV-00430,13,8,1017.48,4,1,3,8,Promising (New)
C-ADV-00431,19,17,2650.7400000000002,3,3,4,10,Loyal Customers
C-ADV-00432,38,17,454.21,2,3,2,7,Others
C-ADV-00433,13,21,1244.35,4,4,3,11,Champions
