record_id,date,site_id,cell_id,region,technology,availability_percent,latency_ms,throughput_mbps,call_drop_rate,handover_success_rate,traffic_volume_gb,active_users
KPI-001045,2024-01-07,SITE-0101,CELL-01378,West,5G,98.28,3.08,587.85,1.86,98.89,226.86,1499
KPI-003144,2024-01-07,SITE-0458,CELL-01678,East,4G,96.95,34.57,70.96,0.98,96.71,849.46,7448
KPI-004348,2024-01-07,SITE-0354,CELL-01127,Central,5G,99.84,8.33,635.93,1.93,98.57,48.1,189
KPI-001301,2024-01-07,SITE-0246,CELL-01412,North,3G,97.68,91.72,6.04,0.79,96.64,757.85,4717
KPI-003746,2024-01-07,SITE-0033,CELL-01770,North,4G,96.65,26.75,60.61,0.33,98.54,147.29,8636
KPI-000306,2024-01-07,SITE-0282,CELL-00960,Central,5G,99.37,9.25,154.78,0.39,98.11,266.99,7542
KPI-004849,2024-01-07,SITE-0453,CELL-01756,North,4G,95.95,37.78,36.49,0.1,97.33,910.48,7437
KPI-001114,2024-01-07,SITE-0353,CELL-00107,West,3G,92.26,125.14,15.42,1.06,95.57,937.12,8793
KPI-002215,2024-01-07,SITE-0286,CELL-00662,South,5G,98.2,3.62,115.14,0.02,95.46,168.7,8388
KPI-002870,2024-01-07,SITE-0057,CELL-01394,Central,3G,91.5,145.39,18.48,1.33,95.92,914.1,4666
KPI-003704,2024-01-07,SITE-0195,CELL-00123,South,4G,97.1,29.14,90.49,1.58,96.34,59.9,5487
KPI-004486,2024-01-07,SITE-0287,CELL-01984,North,5G,97.66,7.6,843.03,2.97,97.43,230.95,4663
KPI-000709,2024-01-07,SITE-0375,CELL-00332,North,5G,99.81,8.56,706.58,0.98,99.44,465.74,4894
KPI-000612,2024-01-07,SITE-0329,CELL-00203,East,3G,91.32,138.77,15.96,2.38,98.71,47.7,2561
KPI-003083,2024-01-07,SITE-0088,CELL-01248,South,3G,95.36,113.45,5.92,0.35,95.35,743.3,2270
KPI-001875,2024-01-07,SITE-0113,CELL-01773,South,4G,98.21,26.87,54.89,0.91,95.1,694.79,2241
KPI-000467,2024-01-07,SITE-0498,CELL-00082,North,4G,95.05,48.79,145.44,0.22,95.67,631.89,6259
KPI-002680,2024-01-08,SITE-0305,CELL-01418,Central,4G,98.46,48.32,104.09,1.57,97.19,305.57,1199
KPI-002387,2024-01-08,SITE-0434,CELL-01232,West,3G,93.16,83.57,15.33,1.24,98.47,372.0,3048
KPI-003789,2024-01-08,SITE-0476,CELL-01152,West,5G,98.23,9.16,653.78,0.19,95.47,777.3,5104
KPI-004518,2024-01-08,SITE-0364,CELL-01434,West,3G,92.39,194.5,16.04,2.61,95.53,597.83,1725
KPI-000745,2024-01-08,SITE-0276,CELL-01838,North,4G,97.78,24.73,98.91,1.22,97.96,744.55,3080
KPI-000481,2024-01-08,SITE-0333,CELL-01602,North,4G,99.18,24.12,74.12,1.72,97.22,575.01,8791
KPI-004210,2024-01-08,SITE-0020,CELL-00915,East,5G,98.51,1.17,757.13,1.15,99.04,66.22,4265
KPI-003112,2024-01-08,SITE-0432,CELL-01217,South,4G,97.64,49.64,41.21,0.22,99.37,282.97,2052
KPI-000166,2024-01-08,SITE-0146,CELL-01489,West,5G,98.08,4.47,724.92,1.17,99.39,396.36,5130
KPI-000805,2024-01-08,SITE-0224,CELL-00555,North,5G,98.42,3.52,873.87,2.67,95.78,724.04,3133
KPI-003023,2024-01-08,SITE-0434,CELL-01470,South,5G,99.94,7.12,137.26,2.02,98.82,971.25,9290
KPI-002359,2024-01-08,SITE-0264,CELL-00318,East,5G,99.18,4.03,288.64,0.55,98.91,105.13,8684
KPI-002324,2024-01-08,SITE-0035,CELL-00367,North,4G,98.54,36.2,132.16,1.86,98.64,677.48,4439
KPI-004655,2024-01-08,SITE-0197,CELL-00130,North,4G,96.73,43.04,33.47,0.69,95.07,117.38,503
KPI-000897,2024-01-09,SITE-0015,CELL-01433,Central,5G,98.7,3.78,672.95,0.21,95.1,361.59,1956
KPI-002372,2024-01-09,SITE-0198,CELL-00707,South,5G,99.95,2.74,373.47,1.66,97.49,414.52,5475
KPI-004197,2024-01-09,SITE-0088,CELL-00816,South,4G,98.69,43.32,50.14,2.06,97.18,818.08,9514
KPI-004384,2024-01-09,SITE-0103,CELL-00790,Central,5G,99.83,1.33,574.57,2.8,98.45,233.04,1333
KPI-002475,2024-01-09,SITE-0093,CELL-00860,North,5G,97.94,8.71,895.32,0.15,96.8,177.98,6905
KPI-003781,2024-01-09,SITE-0013,CELL-01782,Central,3G,97.84,151.19,18.07,0.99,97.16,301.88,2028
KPI-000283,2024-01-09,SITE-0240,CELL-00645,East,4G,95.64,40.44,83.9,1.85,97.92,85.76,3404
KPI-004026,2024-01-09,SITE-0252,CELL-00921,Central,3G,96.33,91.1,8.75,1.79,99.66,629.6,5181
KPI-001865,2024-01-09,SITE-0203,CELL-00038,West,5G,99.12,5.47,135.44,2.41,99.66,543.82,382
KPI-003900,2024-01-09,SITE-0466,CELL-00449,East,3G,94.59,95.13,16.92,1.75,96.79,915.21,9560
KPI-002492,2024-01-10,SITE-0334,CELL-01278,East,3G,93.33,157.83,15.36,0.29,95.94,487.94,774
KPI-004251,2024-01-10,SITE-0273,CELL-00997,West,5G,97.57,4.93,180.39,1.61,99.6,969.54,4845
KPI-001928,2024-01-10,SITE-0168,CELL-00499,East,4G,99.16,35.56,132.02,1.37,95.97,105.74,8494
KPI-002938,2024-01-10,SITE-0076,CELL-01610,East,3G,93.9,199.67,6.21,1.02,99.46,309.88,9748
KPI-004930,2024-01-10,SITE-0048,CELL-01111,North,5G,99.69,8.47,836.67,1.05,95.01,75.81,723
KPI-000256,2024-01-10,SITE-0339,CELL-00084,West,4G,97.18,44.03,56.61,1.5,97.72,810.36,4701
KPI-002203,2024-01-10,SITE-0097,CELL-00094,East,3G,94.03,149.53,15.93,1.66,95.58,248.21,8100
KPI-002494,2024-01-10,SITE-0374,CELL-01298,Central,4G,98.92,24.08,75.91,1.96,99.56,404.52,9418
KPI-004012,2024-01-10,SITE-0377,CELL-01729,East,4G,96.74,21.3,65.55,2.79,99.04,968.77,5103
KPI-002521,2024-01-10,SITE-0100,CELL-01058,West,5G,99.92,5.12,180.12,1.56,97.58,803.52,1702
KPI-001398,2024-01-10,SITE-0272,CELL-00842,North,3G,94.05,120.63,17.98,1.72,96.41,46.19,6589
KPI-000078,2024-01-10,SITE-0368,CELL-00492,Central,3G,90.8,106.95,9.84,2.72,98.81,418.65,2645
KPI-003841,2024-01-10,SITE-0256,CELL-01824,East,4G,96.44,43.38,69.61,1.75,96.24,811.88,4626
KPI-001857,2024-01-10,SITE-0184,CELL-01541,North,5G,98.37,9.49,363.01,0.27,96.88,235.52,3081
KPI-001979,2024-01-10,SITE-0316,CELL-00088,South,3G,94.6,135.73,12.46,2.23,96.08,619.67,1095
KPI-002132,2024-01-10,SITE-0303,CELL-00499,Central,5G,97.01,4.39,500.02,0.72,98.38,258.62,1835
KPI-001079,2024-01-10,SITE-0463,CELL-01101,Central,4G,98.48,41.84,147.65,1.68,98.31,342.75,4036
KPI-003140,2024-01-11,SITE-0494,CELL-01490,North,4G,98.58,46.43,143.35,2.53,98.6,787.25,691
KPI-002292,2024-01-11,SITE-0350,CELL-00919,West,3G,92.23,92.31,5.07,2.49,96.36,462.73,1465
KPI-000748,2024-01-11,SITE-0494,CELL-00030,Central,4G,99.42,37.24,92.81,0.21,99.25,747.66,4341
KPI-003255,2024-01-11,SITE-0298,CELL-00367,Central,3G,96.47,80.86,19.73,2.47,98.23,96.86,6540
KPI-004342,2024-01-11,SITE-0090,CELL-00986,South,5G,97.2,7.37,808.82,1.09,98.99,802.99,8888
KPI-001713,2024-01-11,SITE-0402,CELL-00644,North,4G,97.74,37.34,44.71,1.61,99.05,985.82,1812
KPI-004934,2024-01-11,SITE-0347,CELL-00051,North,5G,97.55,6.52,794.61,0.99,97.25,349.07,1952
KPI-004391,2024-01-12,SITE-0167,CELL-00248,South,5G,99.32,7.92,158.71,0.84,97.33,356.64,7792
KPI-004230,2024-01-12,SITE-0099,CELL-01169,East,4G,98.39,47.86,131.02,1.39,95.96,831.84,823
KPI-002232,2024-01-12,SITE-0434,CELL-01156,West,3G,93.88,167.47,17.85,0.08,95.43,40.74,1432
KPI-001810,2024-01-12,SITE-0210,CELL-00463,North,3G,96.4,118.43,18.92,1.79,99.61,985.49,2419
KPI-001403,2024-01-12,SITE-0190,CELL-00300,South,5G,97.01,1.52,859.42,2.39,95.87,485.77,8472
KPI-003979,2024-01-12,SITE-0191,CELL-01458,Central,5G,98.9,6.59,202.5,2.68,96.38,385.38,6378
KPI-004786,2024-01-12,SITE-0055,CELL-01424,Central,3G,94.33,92.45,14.67,2.59,98.18,661.23,8082
KPI-004815,2024-01-12,SITE-0169,CELL-00079,Central,5G,98.55,3.71,686.54,2.09,96.06,644.69,3403
KPI-002035,2024-01-12,SITE-0069,CELL-01270,South,3G,95.6,131.6,16.58,2.36,96.86,374.3,4802
KPI-001346,2024-01-12,SITE-0023,CELL-00553,Central,4G,97.4,28.09,88.19,0.79,95.76,849.28,8794
KPI-001306,2024-01-12,SITE-0350,CELL-00096,East,4G,97.94,48.48,35.81,0.9,97.84,278.08,2699
KPI-004685,2024-01-12,SITE-0341,CELL-01141,South,5G,98.69,8.17,504.68,1.47,99.22,722.6,1233
KPI-000004,2024-01-13,SITE-0214,CELL-00700,South,4G,95.93,26.73,139.43,2.67,95.31,78.34,8501
KPI-004231,2024-01-13,SITE-0076,CELL-01698,Central,4G,95.85,32.38,141.83,1.14,95.8,518.08,9340
KPI-004522,2024-01-13,SITE-0022,CELL-01793,North,5G,98.38,1.51,971.49,1.54,96.68,959.35,1618
KPI-000457,2024-01-13,SITE-0425,CELL-00660,East,5G,98.43,2.32,198.36,2.98,95.78,600.07,6848
KPI-004721,2024-01-13,SITE-0475,CELL-00807,North,4G,98.22,21.58,59.0,2.12,95.11,593.61,7512
KPI-002275,2024-01-13,SITE-0086,CELL-00708,Central,4G,97.21,42.3,65.45,0.63,95.05,616.6,4628
KPI-002757,2024-01-13,SITE-0267,CELL-00249,West,5G,97.1,3.5,324.54,2.58,95.71,32.09,5649
KPI-004007,2024-01-13,SITE-0026,CELL-01534,Central,5G,97.25,5.49,999.88,0.28,96.73,640.83,5280
KPI-004367,2024-01-13,SITE-0405,CELL-01268,Central,3G,94.67,136.73,15.99,2.94,95.48,550.08,7591
KPI-000568,2024-01-13,SITE-0006,CELL-00554,South,5G,97.56,2.57,227.82,2.02,96.09,663.58,7001
KPI-004929,2024-01-13,SITE-0369,CELL-00540,South,4G,97.27,37.71,32.98,2.1,98.12,748.49,8551
KPI-003065,2024-01-13,SITE-0462,CELL-00194,Central,5G,99.1,8.59,159.59,2.52,96.74,884.57,2467
KPI-000407,2024-01-13,SITE-0260,CELL-00656,West,4G,95.18,38.06,32.19,1.11,97.8,902.27,794
KPI-003183,2024-01-13,SITE-0275,CELL-01968,Central,4G,97.85,41.97,78.49,1.06,95.99,930.91,8609
KPI-003917,2024-01-13,SITE-0388,CELL-00185,East,4G,98.39,38.92,57.72,0.3,97.34,558.69,9989
KPI-004262,2024-01-14,SITE-0174,CELL-01081,Central,5G,97.56,2.69,666.51,2.53,97.76,888.28,3682
KPI-001178,2024-01-14,SITE-0172,CELL-00668,East,3G,97.67,121.33,6.92,2.85,96.51,845.47,7547
KPI-000642,2024-01-14,SITE-0201,CELL-01530,West,5G,98.41,2.39,603.3,1.76,98.41,310.35,5095
KPI-002006,2024-01-14,SITE-0025,CELL-01648,South,3G,92.11,147.81,17.7,2.39,96.9,544.73,5312
KPI-000551,2024-01-14,SITE-0426,CELL-01098,North,3G,97.9,132.68,2.29,1.0,97.56,768.85,6525
KPI-004651,2024-01-14,SITE-0158,CELL-00349,North,3G,90.06,133.86,10.17,1.15,99.62,984.67,5568
KPI-000021,2024-01-14,SITE-0018,CELL-01073,North,5G,99.05,7.83,610.69,0.33,96.44,145.95,5403
KPI-001066,2024-01-14,SITE-0487,CELL-01136,East,5G,97.86,2.99,275.56,0.06,97.24,576.58,9377
KPI-004662,2024-01-14,SITE-0128,CELL-00741,East,5G,99.53,2.18,560.65,1.78,96.89,573.28,5573
KPI-000789,2024-01-15,SITE-0157,CELL-01115,North,4G,97.18,29.32,36.44,2.31,95.94,612.5,6594
KPI-001673,2024-01-15,SITE-0374,CELL-00820,Central,4G,95.94,42.54,37.55,0.64,96.92,288.17,9712
KPI-000658,2024-01-15,SITE-0318,CELL-01045,South,3G,93.88,93.14,4.68,1.97,96.74,689.14,8125
KPI-003396,2024-01-15,SITE-0411,CELL-01055,West,4G,98.71,43.56,139.99,0.28,96.63,684.34,9567
KPI-000718,2024-01-15,SITE-0245,CELL-01450,Central,3G,94.43,165.81,7.78,2.78,96.99,58.08,6802
KPI-003247,2024-01-15,SITE-0350,CELL-01929,Central,3G,93.57,180.47,3.29,0.33,99.63,888.99,487
KPI-000600,2024-01-15,SITE-0388,CELL-00705,South,5G,99.91,4.12,828.81,1.13,98.36,422.0,8051
KPI-001095,2024-01-15,SITE-0207,CELL-00277,North,3G,92.59,154.64,2.24,2.22,96.91,627.3,4488
KPI-002461,2024-01-15,SITE-0242,CELL-01283,North,4G,97.16,41.43,131.55,0.12,99.47,702.1,7679
KPI-002390,2024-01-15,SITE-0274,CELL-01883,North,5G,97.89,3.73,682.0,0.09,95.61,378.52,4361
KPI-002484,2024-01-15,SITE-0066,CELL-01383,South,4G,97.7,48.98,115.19,2.68,96.82,738.08,3873
KPI-002501,2024-01-16,SITE-0306,CELL-00314,West,4G,98.42,22.03,65.91,2.93,98.04,944.21,5222
KPI-002567,2024-01-16,SITE-0029,CELL-01829,Central,5G,99.37,2.62,228.36,0.12,96.89,192.93,8588
KPI-000649,2024-01-16,SITE-0278,CELL-00376,Central,3G,94.09,125.69,12.94,1.85,99.75,327.46,2161
KPI-000010,2024-01-16,SITE-0017,CELL-00448,North,4G,97.68,33.62,32.97,0.25,98.97,19.99,1156
KPI-004689,2024-01-16,SITE-0400,CELL-01491,Central,3G,92.08,150.52,10.04,2.75,97.07,452.16,2634
KPI-002905,2024-01-16,SITE-0232,CELL-00636,East,5G,97.42,6.6,574.55,2.33,95.73,98.53,7155
KPI-002163,2024-01-16,SITE-0368,CELL-00308,West,4G,98.03,35.27,117.4,2.69,98.99,358.45,4823
KPI-001750,2024-01-16,SITE-0421,CELL-00508,South,4G,98.12,41.96,62.11,2.26,96.15,313.74,9673
KPI-003783,2024-01-16,SITE-0117,CELL-01418,West,5G,97.49,5.98,217.77,1.37,96.03,471.99,7984
KPI-003096,2024-01-16,SITE-0132,CELL-00085,East,4G,97.53,37.35,42.49,1.46,98.66,338.1,492
KPI-000426,2024-01-16,SITE-0052,CELL-01913,North,4G,98.49,47.79,54.33,1.24,98.93,177.37,2807
KPI-001658,2024-01-16,SITE-0067,CELL-00835,South,4G,97.23,41.5,96.66,1.31,99.4,429.84,6455
KPI-001887,2024-01-16,SITE-0453,CELL-00518,South,4G,97.13,31.2,86.93,0.74,96.09,383.98,490
KPI-003831,2024-01-17,SITE-0450,CELL-01678,North,4G,98.27,23.33,44.59,2.0,97.06,332.16,4910
KPI-002222,2024-01-17,SITE-0443,CELL-00470,North,3G,95.01,155.03,6.07,1.26,99.63,204.4,9666
KPI-001055,2024-01-17,SITE-0488,CELL-00460,South,3G,92.0,131.45,9.6,1.08,97.03,869.91,7065
KPI-004055,2024-01-17,SITE-0380,CELL-00015,East,3G,94.52,182.39,18.19,1.63,98.35,731.4,188
KPI-000555,2024-01-17,SITE-0424,CELL-00790,South,3G,91.11,121.07,19.98,2.5,95.81,37.66,3136
KPI-001456,2024-01-17,SITE-0209,CELL-01660,East,3G,96.85,82.46,1.22,0.62,97.38,270.24,245
KPI-000666,2024-01-17,SITE-0147,CELL-00597,South,5G,97.91,1.4,297.7,0.66,97.44,79.86,8216
KPI-002478,2024-01-17,SITE-0179,CELL-01981,North,5G,99.36,4.24,570.66,0.91,99.4,447.62,4246
KPI-001938,2024-01-17,SITE-0472,CELL-00338,North,3G,94.18,156.25,14.22,1.76,97.11,256.29,4527
KPI-003636,2024-01-17,SITE-0091,CELL-00080,South,3G,94.57,167.41,1.13,0.72,99.47,321.3,9830
KPI-002185,2024-01-17,SITE-0434,CELL-00130,West,4G,98.76,36.67,73.54,0.02,95.04,252.0,4289
KPI-003889,2024-01-17,SITE-0027,CELL-01600,North,3G,96.23,91.81,14.88,1.87,97.94,287.15,3778
KPI-002459,2024-01-17,SITE-0487,CELL-00668,East,3G,94.18,170.24,11.2,0.34,95.14,19.35,1254
KPI-002316,2024-01-17,SITE-0089,CELL-01237,East,5G,98.7,4.45,576.82,1.13,95.95,610.2,1055
KPI-004288,2024-01-17,SITE-0158,CELL-00278,North,5G,97.31,7.43,713.75,2.76,99.74,70.03,699
KPI-003345,2024-01-18,SITE-0324,CELL-00492,Central,3G,90.49,189.32,13.84,2.26,98.33,124.57,9704
KPI-002252,2024-01-18,SITE-0114,CELL-00264,East,3G,94.99,102.08,16.27,1.6,96.09,235.53,2244
KPI-000185,2024-01-18,SITE-0088,CELL-00382,West,5G,99.08,8.8,982.56,0.16,99.15,798.2,5121
KPI-003019,2024-01-18,SITE-0075,CELL-01793,North,5G,98.0,9.22,461.25,0.02,98.1,380.93,6201
KPI-001656,2024-01-18,SITE-0063,CELL-01590,South,3G,90.31,167.85,1.92,1.65,97.32,271.55,604
KPI-001796,2024-01-18,SITE-0444,CELL-01842,East,4G,95.67,49.09,114.23,1.44,95.36,839.85,4918
KPI-003487,2024-01-18,SITE-0139,CELL-00991,West,4G,95.19,48.66,82.15,0.05,98.8,233.67,6462
KPI-001251,2024-01-18,SITE-0433,CELL-00357,East,4G,98.19,29.68,96.63,0.72,96.17,972.78,9123
KPI-002449,2024-01-18,SITE-0464,CELL-01163,North,4G,97.26,36.49,37.15,0.84,95.73,794.91,7169
KPI-002384,2024-01-18,SITE-0261,CELL-01125,North,3G,90.18,176.59,16.33,2.09,99.62,409.38,1569
KPI-003787,2024-01-18,SITE-0160,CELL-00553,South,4G,98.66,20.4,127.03,0.59,96.17,545.06,422
