customer_id,join_date,acquisition_channel,age,loyalty_score,spend_potential,tier,is_active
C-ADV-00042,2023-12-09,Direct,31,0.39,114.47,Silver,False
C-ADV-00043,2023-05-05,Direct,69,0.27,67.63,Platinum,True
C-ADV-00044,2023-02-18,Search,60,0.08,318.28,Platinum,True
C-ADV-00045,2023-08-05,Direct,47,0.4,161.27,Bronze,True
C-ADV-00046,2023-02-01,Direct,64,0.33,29.85,Gold,True
C-ADV-00047,2023-05-08,Social Media,30,0.11,141.74,Platinum,True
C-ADV-00048,2023-08-05,Social Media,35,0.51,12.17,Platinum,True
C-ADV-00049,2023-02-08,Direct,69,0.19,108.45,Bronze,True
C-ADV-00050,2023-11-30,Email,18,0.1,39.06,Bronze,True
C-ADV-00051,2023-03-27,Direct,49,0.13,57.14,Platinum,True
C-ADV-00052,2023-07-25,Search,28,0.1,125.06,Platinum,True
C-ADV-00053,2023-07-19,Referral,68,0.03,24.72,Platinum,True
C-ADV-00054,2023-08-05,Email,60,0.32,287.52,Platinum,True
C-ADV-00055,2023-04-08,Referral,31,0.25,15.47,Bronze,True
C-ADV-00056,2023-06-10,Search,21,0.36,284.68,Platinum,True
C-ADV-00057,2023-01-30,Email,23,0.09,85.1,Silver,True
C-ADV-00058,2023-11-01,Search,61,0.38,21.49,Silver,False
C-ADV-00059,2023-03-03,Email,33,0.36,35.16,Bronze,True
C-ADV-00060,2023-08-03,Email,54,0.28,571.35,Gold,True
C-ADV-00061,2023-04-15,Referral,33,0.11,58.55,Gold,False
C-ADV-00062,2023-03-09,Referral,47,0.42,196.48,Gold,True
C-ADV-00063,2023-01-05,Direct,57,0.04,29.29,Bronze,True
C-ADV-00064,2023-10-03,Social Media,50,0.45,29.31,Gold,True
C-ADV-00065,2023-06-28,Search,33,0.15,74.24,Gold,True
C-ADV-00066,2023-03-22,Direct,52,0.13,9.14,Gold,True
C-ADV-00067,2023-12-08,Email,37,0.08,44.6,Bronze,True
C-ADV-00068,2023-05-16,Search,24,0.55,55.27,Silver,True
C-ADV-00069,2023-05-25,Email,31,0.34,40.03,Gold,True
C-ADV-00070,2023-12-18,Referral,50,0.28,369.56,Platinum,True
C-ADV-00071,2023-01-27,Search,58,0.55,16.21,Platinum,True
C-ADV-00072,2023-01-23,Search,39,0.31,27.14,Silver,True
C-ADV-00073,2023-03-24,Direct,53,0.19,47.13,Platinum,True
C-ADV-00074,2023-02-27,Search,62,0.24,35.4,Silver,True
C-ADV-00075,2023-07-09,Email,53,0.34,68.86,Silver,False
C-ADV-00076,2023-03-07,Search,37,0.5,28.1,Gold,True
C-ADV-00077,2023-07-03,Social Media,61,0.43,238.74,Silver,True
C-ADV-00078,2023-07-01,Email,44,0.22,194.64,Silver,True
C-ADV-00079,2023-03-25,Social Media,44,0.39,81.59,Bronze,True
C-ADV-00080,2023-06-20,Direct,69,0.18,58.54,Silver,True
C-ADV-00081,2023-03-23,Search,42,0.4,25.2,Bronze,False
C-ADV-00082,2023-04-24,Social Media,70,0.54,181.35,Platinum,True
C-ADV-00083,2023-06-06,Social Media,32,0.32,24.33,Bronze,True
C-ADV-00084,2023-07-24,Referral,35,0.39,8.06,Bronze,True
C-ADV-00085,2023-06-29,Email,43,0.42,89.29,Gold,True
C-ADV-00086,2023-03-01,Referral,29,0.25,50.72,Gold,True
C-ADV-00087,2023-02-25,Email,45,0.42,211.43,Gold,True
C-ADV-00088,2023-08-12,Email,50,0.28,48.98,Bronze,False
C-ADV-00089,2023-10-23,Social Media,34,0.25,57.22,Bronze,False
C-ADV-00090,2023-01-01,Email,69,0.39,13.89,Silver,True
C-ADV-00091,2023-08-09,Search,60,0.54,195.91,Gold,True
C-ADV-00092,2023-12-06,Search,64,0.16,64.71,Gold,True
C-ADV-00093,2023-12-08,Direct,38,0.47,144.25,Platinum,True
C-ADV-00094,2023-10-11,Social Media,30,0.39,9.67,Platinum,False
C-ADV-00095,2023-12-13,Social Media,57,0.51,111.89,Gold,False
C-ADV-00096,2023-10-08,Search,37,0.12,53.8,Gold,True
C-ADV-00097,2023-08-09,Email,56,0.34,52.84,Gold,False
C-ADV-00098,2023-08-15,Direct,61,0.62,18.15,Silver,False
C-ADV-00099,2023-03-28,Search,36,0.34,141.9,Gold,True
C-ADV-00100,2023-05-01,Referral,32,0.24,24.16,Silver,True
C-ADV-00101,2023-01-13,Search,33,0.19,19.39,Platinum,True
C-ADV-00102,2023-08-22,Direct,58,0.58,91.34,Silver,False
C-ADV-00103,2023-09-11,Direct,33,0.46,43.77,Silver,True
C-ADV-00104,2023-02-24,Direct,32,0.13,586.48,Silver,False
C-ADV-00105,2023-01-26,Email,33,0.12,42.56,Bronze,False
C-ADV-00106,2023-03-10,Direct,60,0.52,20.65,Gold,False
C-ADV-00107,2023-11-10,Email,45,0.47,66.92,Platinum,True
C-ADV-00108,2023-09-01,Direct,34,0.24,25.2,Silver,True
C-ADV-00109,2023-09-24,Direct,58,0.12,131.85,Silver,True
C-ADV-00110,2023-08-14,Search,63,0.14,35.15,Gold,True
C-ADV-00111,2023-05-20,Referral,38,0.61,13.7,Bronze,True
C-ADV-00112,2023-03-19,Social Media,42,0.45,43.01,Silver,True
C-ADV-00113,2023-02-02,Direct,44,0.21,57.31,Gold,False
C-ADV-00114,2023-08-01,Search,31,0.13,50.15,Platinum,False
C-ADV-00115,2023-10-27,Search,66,0.14,60.3,Platinum,False
C-ADV-00116,2023-01-04,Referral,37,0.29,25.49,Platinum,False
C-ADV-00117,2023-10-03,Email,69,0.33,70.79,Silver,False
C-ADV-00118,2023-04-23,Referral,45,0.22,71.36,Platinum,True
C-ADV-00119,2023-07-19,Referral,60,0.17,149.35,Platinum,True
C-ADV-00120,2023-08-28,Social Media,57,0.12,118.11,Bronze,False
C-ADV-00121,2023-10-31,Email,60,0.02,79.13,Bronze,True
C-ADV-00122,2023-11-26,Direct,26,0.15,265.11,Platinum,True
C-ADV-00123,2023-01-26,Referral,42,0.36,81.0,Gold,True
C-ADV-00124,2023-08-21,Referral,39,0.47,78.32,Platinum,True
C-ADV-00125,2023-08-04,Referral,23,0.49,8.41,Platinum,True
C-ADV-00126,2023-10-04,Search,40,0.38,55.48,Silver,True
C-ADV-00127,2023-11-30,Search,66,0.69,12.45,Bronze,True
C-ADV-00128,2023-04-13,Search,57,0.38,190.06,Silver,True
C-ADV-00129,2023-03-06,Direct,60,0.27,125.25,Bronze,True
C-ADV-00130,2023-08-27,Referral,67,0.08,81.62,Gold,True
C-ADV-00131,2023-11-07,Email,65,0.48,41.68,Bronze,True
C-ADV-00132,2023-06-09,Search,55,0.15,31.42,Bronze,True
C-ADV-00133,2023-10-22,Direct,43,0.27,25.18,Silver,True
C-ADV-00134,2023-10-31,Social Media,24,0.09,125.91,Gold,True
C-ADV-00135,2023-10-17,Search,40,0.37,630.02,Platinum,True
C-ADV-00136,2023-02-05,Email,59,0.16,98.52,Gold,True
C-ADV-00137,2023-08-04,Direct,24,0.13,268.59,Platinum,True
C-ADV-00138,2023-11-22,Direct,63,0.2,119.23,Silver,False
C-ADV-00139,2023-04-01,Email,59,0.19,46.62,Gold,False
C-ADV-00140,2023-08-27,Direct,70,0.15,5.36,Gold,True
C-ADV-00141,2023-05-06,Search,35,0.17,42.12,Platinum,True
C-ADV-00142,2023-08-26,Email,57,0.08,14.6,Platinum,True
C-ADV-00143,2023-01-15,Direct,38,0.18,41.73,Silver,False
C-ADV-00144,2023-04-19,Referral,69,0.12,63.96,Gold,True
C-ADV-00145,2023-05-24,Email,62,0.27,30.76,Gold,True
C-ADV-00146,2023-09-22,Social Media,23,0.08,18.05,Silver,False
C-ADV-00147,2023-09-08,Email,66,0.13,189.82,Silver,False
C-ADV-00148,2023-11-27,Direct,46,0.03,42.32,Bronze,True
C-ADV-00149,2023-05-31,Social Media,43,0.12,139.17,Silver,True
C-ADV-00150,2023-12-06,Email,41,0.54,26.36,Platinum,True
C-ADV-00151,2023-08-06,Email,39,0.16,42.93,Gold,False
C-ADV-00152,2023-05-19,Referral,34,0.19,70.3,Silver,True
C-ADV-00153,2023-04-09,Referral,25,0.09,75.65,Silver,True
C-ADV-00154,2023-04-21,Direct,35,0.17,24.14,Gold,True
C-ADV-00155,2023-04-10,Referral,32,0.06,6.81,Gold,True
C-ADV-00156,2023-06-04,Search,63,0.41,52.93,Silver,True
C-ADV-00157,2023-01-24,Search,53,0.21,14.18,Gold,True
C-ADV-00158,2023-11-23,Direct,24,0.54,60.39,Bronze,True
C-ADV-00159,2023-08-29,Direct,46,0.4,152.8,Gold,True
C-ADV-00160,2023-01-27,Referral,48,0.21,262.56,Bronze,True
C-ADV-00161,2023-07-25,Direct,22,0.09,91.62,Bronze,True
C-ADV-00162,2023-03-18,Email,37,0.29,97.61,Bronze,True
C-ADV-00163,2023-03-02,Email,66,0.24,21.13,Platinum,True
C-ADV-00164,2023-09-25,Direct,46,0.62,65.3,Platinum,True
C-ADV-00165,2023-10-29,Direct,37,0.17,172.31,Bronze,True
C-ADV-00166,2023-04-17,Social Media,34,0.15,39.06,Bronze,True
C-ADV-00167,2023-05-03,Social Media,53,0.09,102.76,Bronze,True
C-ADV-00168,2023-01-02,Direct,46,0.64,171.42,Platinum,True
C-ADV-00169,2023-01-17,Social Media,36,0.2,79.85,Gold,False
C-ADV-00170,2023-02-06,Social Media,34,0.24,157.94,Silver,False
C-ADV-00171,2023-02-28,Email,32,0.22,67.2,Silver,True
C-ADV-00172,2023-03-14,Search,21,0.37,85.34,Silver,True
C-ADV-00173,2023-11-01,Email,36,0.23,107.93,Platinum,True
C-ADV-00174,2023-08-28,Referral,62,0.14,13.39,Platinum,True
C-ADV-00175,2023-09-14,Email,49,0.32,33.83,Platinum,True
C-ADV-00176,2023-11-03,Search,45,0.21,28.49,Gold,True
C-ADV-00177,2023-01-14,Search,32,0.39,132.9,Bronze,True
C-ADV-00178,2023-10-23,Search,66,0.37,185.52,Silver,False
C-ADV-00179,2023-09-23,Direct,35,0.07,37.98,Silver,False
C-ADV-00180,2023-11-22,Direct,23,0.14,40.43,Platinum,True
C-ADV-00181,2023-07-29,Referral,38,0.23,25.34,Bronze,True
C-ADV-00182,2023-06-18,Direct,62,0.08,46.26,Platinum,True
C-ADV-00183,2023-12-06,Direct,70,0.15,107.21,Bronze,False
C-ADV-00184,2023-02-15,Referral,34,0.29,32.54,Gold,True
C-ADV-00185,2023-07-26,Email,70,0.23,179.29,Bronze,False
C-ADV-00186,2023-07-31,Search,30,0.32,76.99,Gold,False
C-ADV-00187,2023-11-17,Direct,66,0.19,11.99,Bronze,True
C-ADV-00188,2023-05-17,Email,26,0.14,94.02,Gold,False
C-ADV-00189,2023-12-24,Direct,25,0.45,24.57,Bronze,True
C-ADV-00190,2023-12-30,Social Media,37,0.52,109.37,Bronze,False
C-ADV-00191,2023-02-17,Social Media,25,0.12,179.18,Platinum,True
C-ADV-00192,2023-11-28,Social Media,49,0.41,10.6,Gold,True
C-ADV-00193,2023-08-01,Direct,48,0.28,165.46,Silver,False
C-ADV-00194,2023-10-10,Social Media,42,0.26,149.68,Silver,True
C-ADV-00195,2023-02-05,Referral,67,0.51,63.23,Platinum,True
C-ADV-00196,2023-09-17,Referral,70,0.14,43.57,Bronze,True
C-ADV-00197,2023-06-02,Email,55,0.25,57.19,Platinum,True
C-ADV-00198,2023-08-17,Email,48,0.55,71.28,Gold,True
C-ADV-00199,2023-10-10,Email,42,0.21,72.17,Platinum,True
C-ADV-00200,2023-04-07,Social Media,54,0.25,37.98,Platinum,True
C-ADV-00201,2023-07-30,Search,38,0.2,11.9,Platinum,False
C-ADV-00202,2023-07-17,Social Media,49,0.38,47.89,Bronze,True
C-ADV-00203,2023-09-15,Email,39,0.05,358.22,Bronze,False
C-ADV-00204,2023-02-21,Email,47,0.11,167.65,Bronze,True
C-ADV-00205,2023-07-29,Social Media,22,0.39,49.44,Platinum,True
C-ADV-00206,2023-06-23,Email,62,0.05,134.01,Platinum,True
C-ADV-00207,2023-06-18,Email,42,0.37,231.31,Gold,False
C-ADV-00208,2023-10-05,Search,57,0.34,110.8,Bronze,True
C-ADV-00209,2023-11-20,Referral,32,0.31,206.26,Bronze,False
C-ADV-00210,2023-02-20,Search,46,0.4,79.44,Silver,True
C-ADV-00211,2023-01-15,Search,38,0.16,13.06,Bronze,True
C-ADV-00212,2023-07-03,Referral,45,0.05,41.39,Silver,True
C-ADV-00213,2023-09-29,Direct,54,0.3,4.84,Silver,True
C-ADV-00214,2023-03-31,Search,57,0.56,53.29,Platinum,True
C-ADV-00215,2023-09-12,Email,27,0.18,17.14,Silver,False
C-ADV-00216,2023-11-23,Referral,47,0.2,22.73,Gold,True
C-ADV-00217,2023-08-27,Referral,61,0.38,41.22,Silver,True
C-ADV-00218,2023-08-15,Referral,55,0.35,71.92,Gold,False
C-ADV-00219,2023-12-20,Referral,47,0.15,28.59,Gold,True
C-ADV-00220,2023-07-16,Direct,24,0.26,61.22,Silver,False
C-ADV-00221,2023-10-20,Referral,54,0.23,27.41,Gold,True
C-ADV-00222,2023-01-12,Direct,35,0.19,19.46,Bronze,True
C-ADV-00223,2023-11-07,Direct,36,0.19,465.11,Silver,True
C-ADV-00224,2023-04-23,Social Media,57,0.52,95.99,Gold,True
C-ADV-00225,2023-11-18,Search,58,0.42,33.68,Bronze,True
C-ADV-00226,2023-08-14,Search,55,0.69,404.13,Gold,True
C-ADV-00227,2023-02-16,Referral,38,0.43,104.83,Platinum,True
C-ADV-00228,2023-04-13,Social Media,68,0.06,15.58,Gold,True
C-ADV-00229,2023-03-26,Referral,70,0.15,31.49,Platinum,True
C-ADV-00230,2023-06-23,Search,47,0.15,40.79,Bronze,True
C-ADV-00231,2023-04-26,Direct,69,0.39,172.22,Gold,True
C-ADV-00232,2023-07-22,Search,34,0.05,50.06,Bronze,False
C-ADV-00233,2023-07-08,Referral,55,0.06,52.1,Platinum,True
C-ADV-00234,2023-02-25,Social Media,48,0.62,70.4,Bronze,True
C-ADV-00235,2023-11-09,Social Media,59,0.09,38.53,Bronze,False
C-ADV-00236,2023-12-25,Referral,59,0.16,185.4,Platinum,True
C-ADV-00237,2023-03-13,Search,20,0.28,42.14,Gold,False
C-ADV-00238,2023-03-01,Search,33,0.23,27.45,Silver,False
C-ADV-00239,2023-08-21,Referral,60,0.38,136.5,Platinum,True
C-ADV-00240,2023-08-01,Search,49,0.6,1030.45,Platinum,True
C-ADV-00241,2023-01-17,Referral,31,0.56,29.26,Platinum,False
C-ADV-00242,2023-05-01,Referral,24,0.48,21.82,Gold,True
C-ADV-00243,2023-02-01,Direct,35,0.25,66.76,Silver,True
C-ADV-00244,2023-08-21,Search,60,0.4,85.56,Silver,True
C-ADV-00245,2023-01-26,Referral,33,0.5,73.89,Silver,True
C-ADV-00246,2023-02-05,Email,31,0.45,96.01,Silver,True
C-ADV-00247,2023-06-18,Social Media,68,0.22,16.0,Bronze,True
C-ADV-00248,2023-03-16,Social Media,52,0.31,61.59,Gold,True
C-ADV-00249,2023-02-26,Search,26,0.2,12.94,Bronze,True
C-ADV-00250,2023-05-02,Email,38,0.08,14.98,Bronze,True
C-ADV-00251,2023-05-16,Search,26,0.1,149.88,Platinum,True
C-ADV-00252,2023-02-02,Direct,46,0.2,53.52,Gold,True
C-ADV-00253,2023-08-20,Email,32,0.18,217.95,Bronze,True
C-ADV-00254,2023-08-23,Search,21,0.38,80.81,Platinum,False
C-ADV-00255,2023-08-07,Search,49,0.18,20.32,Platinum,True
C-ADV-00256,2023-02-11,Referral,56,0.27,81.19,Silver,True
C-ADV-00257,2023-03-06,Referral,57,0.09,94.64,Gold,False
C-ADV-00258,2023-11-02,Email,36,0.07,68.19,Platinum,False
C-ADV-00259,2023-02-20,Search,59,0.31,213.61,Silver,False
C-ADV-00260,2023-08-20,Social Media,44,0.32,41.1,Gold,False
C-ADV-00261,2023-07-24,Direct,64,0.5,314.06,Bronze,True
C-ADV-00262,2023-08-07,Referral,60,0.17,121.86,Gold,True
C-ADV-00263,2023-03-20,Direct,22,0.24,72.17,Bronze,True
C-ADV-00264,2023-02-17,Direct,24,0.72,38.32,Gold,True
C-ADV-00265,2023-10-12,Search,55,0.33,47.13,Gold,True
C-ADV-00266,2023-07-30,Referral,60,0.06,74.77,Platinum,True
C-ADV-00267,2023-05-28,Email,37,0.35,281.21,Gold,True
C-ADV-00268,2023-10-23,Email,31,0.3,73.9,Silver,False
C-ADV-00269,2023-04-25,Search,40,0.22,44.54,Gold,True
C-ADV-00270,2023-05-23,Email,32,0.16,25.56,Platinum,True
C-ADV-00271,2023-11-08,Referral,19,0.25,11.52,Silver,True
C-ADV-00272,2023-12-26,Referral,39,0.18,109.4,Gold,True
C-ADV-00273,2023-04-03,Social Media,54,0.63,51.64,Platinum,True
C-ADV-00274,2023-03-14,Search,23,0.1,265.99,Silver,False
C-ADV-00275,2023-08-03,Direct,39,0.15,100.4,Silver,True
C-ADV-00276,2023-06-09,Referral,67,0.18,119.11,Bronze,True
C-ADV-00277,2023-03-21,Social Media,66,0.55,62.4,Bronze,True
C-ADV-00278,2023-05-20,Direct,60,0.35,22.43,Platinum,False
C-ADV-00279,2023-11-07,Direct,44,0.04,80.53,Gold,True
C-ADV-00280,2023-09-20,Search,40,0.3,35.21,Platinum,True
C-ADV-00281,2023-05-26,Email,49,0.41,75.32,Gold,True
C-ADV-00282,2023-04-23,Direct,56,0.21,19.36,Bronze,True
C-ADV-00283,2023-04-15,Referral,31,0.35,87.77,Silver,True
C-ADV-00284,2023-05-29,Referral,25,0.64,4.37,Bronze,False
C-ADV-00285,2023-08-09,Social Media,26,0.34,45.29,Platinum,True
C-ADV-00286,2023-09-14,Email,60,0.34,3.04,Gold,True
C-ADV-00287,2023-07-23,Search,45,0.45,99.48,Bronze,False
C-ADV-00288,2023-02-09,Referral,54,0.11,27.42,Platinum,False
C-ADV-00289,2023-12-30,Direct,36,0.24,38.97,Bronze,False
C-ADV-00290,2023-01-11,Referral,28,0.21,73.88,Platinum,True
C-ADV-00291,2023-02-15,Direct,24,0.16,54.76,Silver,False
C-ADV-00292,2023-10-29,Direct,51,0.05,19.22,Bronze,False
C-ADV-00293,2023-06-08,Referral,32,0.38,43.61,Gold,True
C-ADV-00294,2023-02-09,Email,58,0.48,52.99,Bronze,True
C-ADV-00295,2023-06-28,Referral,64,0.29,80.79,Silver,True
C-ADV-00296,2023-02-22,Social Media,34,0.13,16.56,Silver,True
C-ADV-00297,2023-11-05,Social Media,66,0.27,302.39,Bronze,True
C-ADV-00298,2023-11-18,Direct,47,0.38,171.11,Platinum,True
C-ADV-00299,2023-11-18,Referral,27,0.09,33.52,Platinum,True
C-ADV-00300,2023-08-29,Direct,58,0.18,71.99,Gold,True
C-ADV-00301,2023-10-30,Search,40,0.38,25.7,Bronze,True
C-ADV-00302,2023-08-25,Direct,20,0.16,69.2,Bronze,True
C-ADV-00303,2023-05-27,Search,59,0.33,20.66,Bronze,False
C-ADV-00304,2023-08-25,Email,53,0.26,72.42,Bronze,False
C-ADV-00305,2023-10-20,Social Media,38,0.11,25.62,Platinum,True
C-ADV-00306,2023-02-01,Direct,24,0.12,103.72,Gold,True
C-ADV-00307,2023-09-16,Social Media,20,0.53,138.08,Silver,False
C-ADV-00308,2023-08-13,Email,51,0.31,23.25,Silver,True
C-ADV-00309,2023-07-10,Referral,42,0.44,7.64,Platinum,True
C-ADV-00310,2023-12-14,Email,21,0.34,67.39,Gold,True
C-ADV-00311,2023-06-18,Search,53,0.18,30.48,Platinum,True
C-ADV-00312,2023-05-10,Email,27,0.49,132.77,Gold,True
C-ADV-00313,2023-10-26,Social Media,40,0.36,14.93,Gold,False
C-ADV-00314,2023-03-08,Email,63,0.26,56.29,Bronze,True
C-ADV-00315,2023-10-14,Direct,59,0.07,299.53,Gold,True
C-ADV-00316,2023-12-10,Email,23,0.04,75.84,Platinum,True
C-ADV-00317,2023-01-10,Referral,37,0.42,16.05,Silver,True
C-ADV-00318,2023-06-24,Direct,30,0.5,197.94,Silver,True
C-ADV-00319,2023-03-21,Search,36,0.11,81.02,Bronze,True
C-ADV-00320,2023-12-05,Referral,67,0.29,12.81,Silver,False
C-ADV-00321,2023-03-20,Social Media,29,0.09,37.61,Silver,False
C-ADV-00322,2023-01-23,Direct,41,0.36,9.99,Silver,False
C-ADV-00323,2023-11-09,Referral,66,0.68,192.98,Platinum,True
C-ADV-00324,2023-10-01,Social Media,37,0.38,61.96,Platinum,True
C-ADV-00325,2023-07-08,Email,46,0.08,182.8,Platinum,True
C-ADV-00326,2023-07-15,Email,51,0.13,166.65,Platinum,True
C-ADV-00327,2023-04-13,Email,26,0.17,239.26,Gold,True
C-ADV-00328,2023-11-25,Direct,41,0.28,88.24,Bronze,True
C-ADV-00329,2023-05-26,Search,66,0.14,348.66,Silver,True
C-ADV-00330,2023-08-19,Email,27,0.19,181.03,Platinum,True
C-ADV-00331,2023-04-24,Direct,40,0.05,17.82,Bronze,False
C-ADV-00332,2023-01-28,Direct,50,0.14,153.39,Gold,True
C-ADV-00333,2023-07-17,Search,41,0.2,32.05,Silver,True
C-ADV-00334,2023-06-13,Search,63,0.12,3.09,Gold,True
C-ADV-00335,2023-03-12,Search,36,0.3,87.25,Platinum,True
C-ADV-00336,2023-12-28,Direct,46,0.39,20.57,Bronze,True
C-ADV-00337,2023-01-10,Referral,31,0.15,78.84,Silver,False
C-ADV-00338,2023-02-26,Referral,33,0.13,32.26,Gold,True
C-ADV-00339,2023-01-25,Social Media,44,0.59,132.16,Platinum,True
C-ADV-00340,2023-02-26,Direct,56,0.29,48.93,Bronze,True
C-ADV-00341,2023-03-15,Referral,45,0.13,15.58,Bronze,True
C-ADV-00342,2023-05-04,Email,44,0.04,24.33,Silver,True
C-ADV-00343,2023-09-26,Referral,22,0.28,24.28,Bronze,False
C-ADV-00344,2023-08-29,Search,58,0.2,40.63,Platinum,True
C-ADV-00345,2023-05-10,Search,40,0.38,59.51,Bronze,True
C-ADV-00346,2023-05-04,Search,67,0.1,34.87,Gold,True
C-ADV-00347,2023-01-23,Referral,52,0.49,427.3,Gold,True
C-ADV-00348,2023-12-17,Direct,62,0.47,29.12,Platinum,True
C-ADV-00349,2023-03-11,Search,63,0.41,21.05,Platinum,True
C-ADV-00350,2023-05-31,Social Media,20,0.08,38.07,Silver,True
C-ADV-00351,2023-06-11,Referral,50,0.26,50.51,Platinum,False
C-ADV-00352,2023-05-10,Search,66,0.13,202.24,Silver,True
C-ADV-00353,2023-07-02,Search,59,0.17,12.96,Gold,True
C-ADV-00354,2023-03-05,Referral,45,0.21,117.38,Platinum,False
C-ADV-00355,2023-07-17,Referral,29,0.2,23.42,Platinum,False
C-ADV-00356,2023-07-08,Email,35,0.44,31.61,Bronze,False
C-ADV-00357,2023-02-10,Direct,56,0.27,83.4,Silver,True
C-ADV-00358,2023-06-14,Search,23,0.15,91.95,Gold,True
C-ADV-00359,2023-06-06,Direct,56,0.38,83.79,Platinum,True
C-ADV-00360,2023-12-20,Direct,40,0.12,327.97,Platinum,True
C-ADV-00361,2023-06-30,Email,45,0.28,38.35,Gold,True
C-ADV-00362,2023-02-08,Direct,41,0.28,40.3,Silver,True
C-ADV-00363,2023-03-15,Email,61,0.12,29.73,Platinum,True
C-ADV-00364,2023-03-06,Search,33,0.13,31.02,Gold,True
C-ADV-00365,2023-07-16,Email,20,0.12,39.55,Silver,False
C-ADV-00366,2023-07-09,Referral,46,0.05,56.71,Bronze,True
C-ADV-00367,2023-09-29,Referral,43,0.42,179.05,Gold,True
C-ADV-00368,2023-05-08,Search,19,0.17,216.13,Silver,False
C-ADV-00369,2023-09-23,Direct,53,0.54,27.72,Bronze,True
C-ADV-00370,2023-05-14,Direct,31,0.59,112.57,Gold,False
C-ADV-00371,2023-04-13,Search,26,0.32,42.89,Bronze,False
C-ADV-00372,2023-03-30,Direct,23,0.12,62.85,Gold,True
C-ADV-00373,2023-12-30,Search,53,0.49,49.87,Gold,True
C-ADV-00374,2023-03-22,Social Media,68,0.2,66.42,Gold,True
C-ADV-00375,2023-03-04,Social Media,68,0.42,161.74,Silver,True
C-ADV-00376,2023-09-10,Search,41,0.41,21.96,Gold,False
C-ADV-00377,2023-10-10,Social Media,57,0.28,40.32,Bronze,True
C-ADV-00378,2023-06-08,Direct,63,0.05,83.79,Platinum,False
C-ADV-00379,2023-07-29,Email,22,0.41,46.12,Silver,True
C-ADV-00380,2023-11-25,Search,46,0.32,26.21,Platinum,True
C-ADV-00381,2023-03-07,Email,58,0.37,69.29,Silver,True
C-ADV-00382,2023-08-10,Email,21,0.25,104.93,Bronze,True
C-ADV-00383,2023-06-05,Social Media,28,0.7,8.75,Gold,True
C-ADV-00384,2023-06-27,Email,36,0.37,185.27,Bronze,True
