transaction_id,customer_id,date,amount,category
T-ADV-030710,C-ADV-01801,2023-01-20,40.46,Home
T-ADV-036400,C-ADV-02135,2023-01-21,38.12,Health
T-ADV-006765,C-ADV-00412,2023-01-21,24.74,Tech
T-ADV-040193,C-ADV-02361,2023-01-21,71.88,Grocery
T-ADV-026591,C-ADV-01568,2023-01-21,148.8,Fashion
T-ADV-008512,C-ADV-00512,2023-01-21,343.23,Fashion
T-ADV-036425,C-ADV-02137,2023-01-22,23.02,Grocery
T-ADV-040858,C-ADV-02399,2023-01-22,42.71,Health
T-ADV-013144,C-ADV-00781,2023-01-22,36.31,Home
T-ADV-014759,C-ADV-00875,2023-01-22,132.37,Fashion
T-ADV-046668,C-ADV-02753,2023-01-23,34.6,Health
T-ADV-006397,C-ADV-00388,2023-01-23,4.34,Health
T-ADV-002915,C-ADV-00177,2023-01-23,109.83,Fashion
T-ADV-047629,C-ADV-02810,2023-01-23,69.72,Home
T-ADV-025338,C-ADV-01500,2023-01-24,499.23,Fashion
T-ADV-006385,C-ADV-00388,2023-01-24,11.08,Tech
T-ADV-043107,C-ADV-02537,2023-01-24,123.89,Grocery
T-ADV-013147,C-ADV-00781,2023-01-24,29.68,Home
T-ADV-017706,C-ADV-01055,2023-01-24,32.45,Grocery
T-ADV-007427,C-ADV-00451,2023-01-24,8.83,Grocery
T-ADV-002757,C-ADV-00168,2023-01-25,322.62,Health
T-ADV-022357,C-ADV-01335,2023-01-25,51.53,Fashion
T-ADV-007418,C-ADV-00451,2023-01-25,8.21,Home
T-ADV-039279,C-ADV-02307,2023-01-25,26.03,Health
T-ADV-015025,C-ADV-00892,2023-01-25,537.18,Home
T-ADV-046283,C-ADV-02731,2023-01-25,49.33,Tech
T-ADV-023735,C-ADV-01413,2023-01-25,103.29,Grocery
T-ADV-033135,C-ADV-01950,2023-01-26,53.65,Health
T-ADV-023719,C-ADV-01413,2023-01-26,81.92,Health
T-ADV-048888,C-ADV-02884,2023-01-26,80.14,Tech
T-ADV-005330,C-ADV-00322,2023-01-26,7.1,Grocery
T-ADV-020323,C-ADV-01208,2023-01-27,66.21,Home
T-ADV-003982,C-ADV-00241,2023-01-28,24.08,Health
T-ADV-034674,C-ADV-02038,2023-01-28,54.02,Home
T-ADV-042118,C-ADV-02476,2023-01-28,160.3,Fashion
T-ADV-007680,C-ADV-00466,2023-01-28,54.35,Health
T-ADV-047625,C-ADV-02810,2023-01-28,79.48,Health
T-ADV-026072,C-ADV-01539,2023-01-29,48.43,Tech
T-ADV-039859,C-ADV-02341,2023-01-29,35.09,Fashion
T-ADV-042857,C-ADV-02521,2023-01-30,52.12,Grocery
T-ADV-023346,C-ADV-01390,2023-01-30,43.2,Health
T-ADV-008506,C-ADV-00512,2023-01-30,334.32,Health
T-ADV-030046,C-ADV-01763,2023-01-30,96.72,Home
T-ADV-019042,C-ADV-01135,2023-01-30,127.43,Home
T-ADV-005547,C-ADV-00337,2023-01-30,132.8,Tech
T-ADV-004073,C-ADV-00245,2023-01-31,37.33,Home
T-ADV-026062,C-ADV-01539,2023-01-31,51.16,Home
T-ADV-006769,C-ADV-00412,2023-01-31,25.05,Grocery
T-ADV-042892,C-ADV-02523,2023-01-31,120.47,Home
T-ADV-002578,C-ADV-00157,2023-01-31,20.42,Health
T-ADV-015102,C-ADV-00897,2023-01-31,21.42,Grocery
T-ADV-015032,C-ADV-00892,2023-01-31,364.02,Grocery
T-ADV-011353,C-ADV-00681,2023-01-31,37.52,Health
T-ADV-013031,C-ADV-00776,2023-02-01,97.31,Tech
T-ADV-034013,C-ADV-01999,2023-02-01,56.78,Grocery
T-ADV-041899,C-ADV-02460,2023-02-01,87.33,Tech
T-ADV-002769,C-ADV-00168,2023-02-01,200.51,Home
T-ADV-023444,C-ADV-01396,2023-02-01,152.27,Fashion
T-ADV-002074,C-ADV-00123,2023-02-01,99.5,Fashion
T-ADV-046456,C-ADV-02740,2023-02-01,14.85,Health
T-ADV-045613,C-ADV-02688,2023-02-01,105.85,Tech
T-ADV-015113,C-ADV-00897,2023-02-01,24.22,Health
T-ADV-032021,C-ADV-01882,2023-02-02,68.03,Fashion
T-ADV-011356,C-ADV-00681,2023-02-02,20.78,Fashion
T-ADV-015117,C-ADV-00897,2023-02-02,35.9,Health
T-ADV-008774,C-ADV-00529,2023-02-02,98.45,Fashion
T-ADV-032972,C-ADV-01939,2023-02-02,120.6,Fashion
T-ADV-042856,C-ADV-02521,2023-02-02,53.49,Home
T-ADV-027571,C-ADV-01622,2023-02-02,136.72,Grocery
T-ADV-027660,C-ADV-01626,2023-02-02,7.35,Fashion
T-ADV-005334,C-ADV-00322,2023-02-02,7.12,Health
T-ADV-008816,C-ADV-00531,2023-02-02,39.27,Health
T-ADV-039281,C-ADV-02307,2023-02-03,25.17,Grocery
T-ADV-009960,C-ADV-00599,2023-02-03,35.37,Fashion
T-ADV-002000,C-ADV-00116,2023-02-03,33.17,Grocery
T-ADV-046505,C-ADV-02744,2023-02-03,282.6,Home
T-ADV-013528,C-ADV-00802,2023-02-03,61.46,Health
T-ADV-027010,C-ADV-01593,2023-02-03,52.27,Grocery
T-ADV-002907,C-ADV-00177,2023-02-03,143.98,Home
T-ADV-041885,C-ADV-02460,2023-02-03,270.72,Tech
T-ADV-018570,C-ADV-01106,2023-02-04,159.87,Grocery
T-ADV-005699,C-ADV-00347,2023-02-04,429.53,Home
T-ADV-022049,C-ADV-01315,2023-02-04,32.58,Fashion
T-ADV-035839,C-ADV-02103,2023-02-04,90.44,Health
T-ADV-042080,C-ADV-02472,2023-02-04,9.12,Fashion
T-ADV-023666,C-ADV-01410,2023-02-04,103.07,Tech
T-ADV-036915,C-ADV-02169,2023-02-04,72.96,Home
T-ADV-032366,C-ADV-01901,2023-02-04,542.31,Home
T-ADV-048875,C-ADV-02884,2023-02-05,144.42,Home
T-ADV-032276,C-ADV-01897,2023-02-05,112.58,Fashion
T-ADV-003970,C-ADV-00241,2023-02-05,39.03,Tech
T-ADV-005677,C-ADV-00347,2023-02-05,343.25,Fashion
T-ADV-012136,C-ADV-00723,2023-02-05,449.29,Fashion
T-ADV-042038,C-ADV-02470,2023-02-05,44.65,Home
T-ADV-004086,C-ADV-00246,2023-02-06,87.31,Grocery
T-ADV-011419,C-ADV-00685,2023-02-06,116.44,Fashion
T-ADV-024484,C-ADV-01453,2023-02-06,42.58,Tech
T-ADV-000626,C-ADV-00040,2023-02-06,91.37,Tech
T-ADV-014738,C-ADV-00875,2023-02-07,90.83,Home
T-ADV-002922,C-ADV-00177,2023-02-07,68.49,Grocery
T-ADV-004807,C-ADV-00290,2023-02-07,108.2,Fashion
T-ADV-012895,C-ADV-00769,2023-02-07,10.68,Tech
T-ADV-008961,C-ADV-00540,2023-02-07,236.53,Grocery
T-ADV-028751,C-ADV-01688,2023-02-07,115.93,Tech
T-ADV-050462,C-ADV-02972,2023-02-07,280.14,Grocery
T-ADV-014757,C-ADV-00875,2023-02-07,69.04,Home
T-ADV-011536,C-ADV-00690,2023-02-07,190.42,Health
T-ADV-004166,C-ADV-00252,2023-02-07,58.57,Tech
T-ADV-019015,C-ADV-01134,2023-02-07,36.56,Health
T-ADV-039491,C-ADV-02315,2023-02-08,248.71,Grocery
T-ADV-049786,C-ADV-02932,2023-02-08,2.5,Fashion
T-ADV-001136,C-ADV-00072,2023-02-08,52.37,Tech
T-ADV-002635,C-ADV-00160,2023-02-08,376.52,Grocery
T-ADV-000620,C-ADV-00040,2023-02-08,63.66,Grocery
T-ADV-046584,C-ADV-02749,2023-02-08,44.6,Fashion
T-ADV-009460,C-ADV-00570,2023-02-08,134.77,Health
T-ADV-040878,C-ADV-02400,2023-02-08,332.11,Tech
T-ADV-034392,C-ADV-02024,2023-02-09,29.93,Health
T-ADV-039287,C-ADV-02307,2023-02-09,15.95,Health
T-ADV-034669,C-ADV-02038,2023-02-09,23.59,Fashion
T-ADV-022039,C-ADV-01315,2023-02-09,68.36,Fashion
T-ADV-004171,C-ADV-00252,2023-02-09,41.61,Grocery
T-ADV-004858,C-ADV-00294,2023-02-09,78.37,Grocery
T-ADV-025202,C-ADV-01494,2023-02-09,45.64,Grocery
T-ADV-037828,C-ADV-02223,2023-02-09,91.34,Home
T-ADV-044671,C-ADV-02630,2023-02-10,26.1,Tech
T-ADV-001102,C-ADV-00071,2023-02-10,28.38,Grocery
T-ADV-005682,C-ADV-00347,2023-02-10,528.82,Fashion
T-ADV-002633,C-ADV-00160,2023-02-10,457.93,Grocery
T-ADV-002797,C-ADV-00169,2023-02-10,46.37,Tech
T-ADV-043395,C-ADV-02554,2023-02-10,24.97,Grocery
T-ADV-014166,C-ADV-00845,2023-02-10,574.06,Health
T-ADV-005473,C-ADV-00332,2023-02-10,208.5,Fashion
T-ADV-041481,C-ADV-02438,2023-02-10,72.63,Grocery
T-ADV-046664,C-ADV-02753,2023-02-10,11.37,Health
T-ADV-017252,C-ADV-01027,2023-02-11,3.11,Grocery
T-ADV-041827,C-ADV-02457,2023-02-11,9.93,Tech
T-ADV-048491,C-ADV-02863,2023-02-11,56.73,Grocery
T-ADV-022346,C-ADV-01335,2023-02-11,56.79,Tech
T-ADV-047733,C-ADV-02816,2023-02-11,23.39,Grocery
T-ADV-041164,C-ADV-02418,2023-02-11,34.94,Health
T-ADV-027562,C-ADV-01622,2023-02-11,137.1,Health
T-ADV-001126,C-ADV-00071,2023-02-11,27.0,Health
T-ADV-037832,C-ADV-02223,2023-02-11,89.82,Home
T-ADV-030669,C-ADV-01797,2023-02-12,60.64,Grocery
T-ADV-010953,C-ADV-00662,2023-02-12,22.82,Home
T-ADV-030712,C-ADV-01801,2023-02-12,46.19,Home
T-ADV-038441,C-ADV-02256,2023-02-12,33.79,Home
T-ADV-003955,C-ADV-00241,2023-02-12,32.75,Grocery
T-ADV-039495,C-ADV-02315,2023-02-12,114.98,Home
T-ADV-019661,C-ADV-01166,2023-02-12,105.06,Home
T-ADV-022037,C-ADV-01315,2023-02-12,108.9,Tech
T-ADV-015103,C-ADV-00897,2023-02-12,14.92,Tech
T-ADV-040993,C-ADV-02408,2023-02-12,73.33,Home
T-ADV-021566,C-ADV-01284,2023-02-12,57.71,Home
T-ADV-013452,C-ADV-00798,2023-02-12,83.94,Home
T-ADV-028585,C-ADV-01677,2023-02-12,48.81,Health
T-ADV-030197,C-ADV-01774,2023-02-12,49.72,Tech
T-ADV-023194,C-ADV-01381,2023-02-13,61.07,Health
T-ADV-044935,C-ADV-02647,2023-02-13,182.76,Fashion
T-ADV-036391,C-ADV-02135,2023-02-13,38.38,Tech
T-ADV-042848,C-ADV-02521,2023-02-13,82.52,Home
T-ADV-046684,C-ADV-02753,2023-02-13,29.59,Tech
T-ADV-005565,C-ADV-00339,2023-02-13,121.03,Tech
T-ADV-023189,C-ADV-01381,2023-02-13,28.7,Grocery
T-ADV-020345,C-ADV-01209,2023-02-13,140.21,Fashion
T-ADV-037112,C-ADV-02182,2023-02-13,321.45,Health
T-ADV-027655,C-ADV-01626,2023-02-13,19.47,Grocery
T-ADV-047468,C-ADV-02799,2023-02-14,187.79,Tech
T-ADV-044675,C-ADV-02630,2023-02-14,22.41,Health
T-ADV-035980,C-ADV-02111,2023-02-14,37.62,Tech
T-ADV-036436,C-ADV-02137,2023-02-14,33.21,Home
T-ADV-041799,C-ADV-02455,2023-02-14,109.01,Health
T-ADV-008501,C-ADV-00512,2023-02-14,194.38,Tech
T-ADV-001499,C-ADV-00090,2023-02-14,26.08,Fashion
T-ADV-007889,C-ADV-00480,2023-02-14,27.92,Tech
T-ADV-047480,C-ADV-02799,2023-02-14,110.55,Home
T-ADV-006767,C-ADV-00412,2023-02-15,28.55,Fashion
T-ADV-023806,C-ADV-01417,2023-02-15,434.11,Health
T-ADV-012348,C-ADV-00737,2023-02-15,33.24,Health
T-ADV-029522,C-ADV-01729,2023-02-15,64.22,Grocery
T-ADV-009967,C-ADV-00599,2023-02-15,23.25,Tech
T-ADV-031929,C-ADV-01877,2023-02-15,55.66,Home
T-ADV-031487,C-ADV-01852,2023-02-16,19.07,Grocery
T-ADV-020126,C-ADV-01194,2023-02-16,117.43,Tech
T-ADV-008524,C-ADV-00514,2023-02-16,379.15,Home
T-ADV-042048,C-ADV-02470,2023-02-16,67.11,Health
T-ADV-002645,C-ADV-00160,2023-02-16,153.57,Home
T-ADV-035779,C-ADV-02101,2023-02-16,70.98,Fashion
T-ADV-027217,C-ADV-01605,2023-02-16,124.02,Fashion
T-ADV-048206,C-ADV-02845,2023-02-17,16.85,Fashion
T-ADV-036912,C-ADV-02168,2023-02-17,17.22,Health
T-ADV-026575,C-ADV-01568,2023-02-17,237.19,Health
T-ADV-034654,C-ADV-02038,2023-02-17,56.46,Health
T-ADV-005937,C-ADV-00362,2023-02-17,35.19,Grocery
T-ADV-027240,C-ADV-01607,2023-02-17,9.57,Fashion
T-ADV-004024,C-ADV-00243,2023-02-17,133.16,Fashion
T-ADV-032164,C-ADV-01890,2023-02-17,138.77,Fashion
T-ADV-023667,C-ADV-01410,2023-02-17,102.69,Grocery
T-ADV-003451,C-ADV-00211,2023-02-17,12.31,Home
T-ADV-039493,C-ADV-02315,2023-02-17,263.59,Fashion
T-ADV-044920,C-ADV-02647,2023-02-17,217.11,Home
T-ADV-005343,C-ADV-00322,2023-02-18,18.12,Grocery
T-ADV-015655,C-ADV-00931,2023-02-18,117.53,Home
T-ADV-011030,C-ADV-00666,2023-02-18,104.3,Health
T-ADV-040522,C-ADV-02379,2023-02-18,43.07,Health
T-ADV-004067,C-ADV-00245,2023-02-18,110.47,Grocery
T-ADV-001151,C-ADV-00072,2023-02-18,51.59,Home
T-ADV-027648,C-ADV-01626,2023-02-18,11.76,Home
T-ADV-027568,C-ADV-01622,2023-02-18,131.11,Home
T-ADV-011323,C-ADV-00680,2023-02-18,189.29,Home
T-ADV-002637,C-ADV-00160,2023-02-19,204.65,Tech
T-ADV-013776,C-ADV-00820,2023-02-19,92.42,Fashion
T-ADV-031119,C-ADV-01827,2023-02-19,565.59,Health
T-ADV-048495,C-ADV-02863,2023-02-19,38.93,Fashion
T-ADV-014754,C-ADV-00875,2023-02-19,96.71,Tech
T-ADV-022943,C-ADV-01368,2023-02-20,52.5,Tech
T-ADV-013457,C-ADV-00798,2023-02-20,116.84,Fashion
T-ADV-042037,C-ADV-02470,2023-02-20,61.19,Tech
T-ADV-005679,C-ADV-00347,2023-02-20,232.82,Grocery
T-ADV-036265,C-ADV-02126,2023-02-20,28.99,Grocery
T-ADV-013646,C-ADV-00810,2023-02-20,46.48,Home
T-ADV-035835,C-ADV-02103,2023-02-21,84.13,Health
T-ADV-004346,C-ADV-00264,2023-02-21,65.36,Home
T-ADV-046430,C-ADV-02740,2023-02-21,7.75,Health
T-ADV-022586,C-ADV-01350,2023-02-21,141.24,Fashion
T-ADV-018706,C-ADV-01117,2023-02-21,9.91,Tech
T-ADV-000699,C-ADV-00044,2023-02-21,614.4,Grocery
T-ADV-018556,C-ADV-01106,2023-02-21,70.13,Fashion
T-ADV-027028,C-ADV-01593,2023-02-21,44.64,Grocery
T-ADV-038555,C-ADV-02263,2023-02-22,101.8,Home
T-ADV-004098,C-ADV-00246,2023-02-22,170.63,Grocery
T-ADV-013222,C-ADV-00785,2023-02-22,35.23,Home
T-ADV-040872,C-ADV-02399,2023-02-22,57.39,Grocery
T-ADV-000171,C-ADV-00013,2023-02-22,66.46,Grocery
T-ADV-027273,C-ADV-01609,2023-02-22,119.07,Grocery
T-ADV-041497,C-ADV-02438,2023-02-22,67.35,Fashion
T-ADV-042250,C-ADV-02484,2023-02-22,97.26,Grocery
T-ADV-037359,C-ADV-02195,2023-02-22,82.0,Health
T-ADV-027586,C-ADV-01623,2023-02-22,116.85,Tech
T-ADV-002009,C-ADV-00116,2023-02-22,17.04,Tech
T-ADV-038561,C-ADV-02264,2023-02-22,26.08,Home
T-ADV-030077,C-ADV-01766,2023-02-22,118.48,Tech
T-ADV-017235,C-ADV-01027,2023-02-22,3.71,Grocery
T-ADV-035785,C-ADV-02101,2023-02-23,48.13,Home
T-ADV-007433,C-ADV-00451,2023-02-23,9.93,Tech
T-ADV-012787,C-ADV-00764,2023-02-23,60.77,Fashion
T-ADV-034442,C-ADV-02027,2023-02-23,72.39,Tech
T-ADV-042753,C-ADV-02515,2023-02-23,29.01,Tech
T-ADV-004338,C-ADV-00264,2023-02-23,27.88,Health
T-ADV-041901,C-ADV-02460,2023-02-23,163.36,Home
T-ADV-042075,C-ADV-02472,2023-02-23,8.27,Health
T-ADV-027261,C-ADV-01607,2023-02-23,24.33,Home
T-ADV-041153,C-ADV-02418,2023-02-23,24.55,Fashion
T-ADV-031113,C-ADV-01827,2023-02-23,796.73,Grocery
T-ADV-015080,C-ADV-00895,2023-02-23,7.83,Home
T-ADV-003004,C-ADV-00184,2023-02-23,26.39,Tech
T-ADV-019343,C-ADV-01151,2023-02-24,138.06,Tech
T-ADV-038753,C-ADV-02277,2023-02-24,28.35,Grocery
T-ADV-035794,C-ADV-02101,2023-02-24,43.1,Fashion
T-ADV-008540,C-ADV-00515,2023-02-24,8.53,Fashion
T-ADV-042134,C-ADV-02476,2023-02-24,73.18,Tech
T-ADV-036253,C-ADV-02126,2023-02-24,20.4,Health
T-ADV-025200,C-ADV-01494,2023-02-24,44.06,Home
T-ADV-010334,C-ADV-00620,2023-02-24,112.74,Health
T-ADV-030112,C-ADV-01769,2023-02-24,65.76,Tech
T-ADV-015679,C-ADV-00934,2023-02-24,155.81,Health
T-ADV-028752,C-ADV-01688,2023-02-24,233.67,Home
T-ADV-044416,C-ADV-02613,2023-02-24,36.59,Home
T-ADV-004257,C-ADV-00259,2023-02-24,166.42,Tech
T-ADV-042818,C-ADV-02518,2023-02-25,156.71,Home
T-ADV-014972,C-ADV-00889,2023-02-25,54.12,Fashion
T-ADV-023663,C-ADV-01410,2023-02-25,83.86,Fashion
T-ADV-027224,C-ADV-01605,2023-02-25,154.9,Grocery
T-ADV-012129,C-ADV-00723,2023-02-25,540.98,Grocery
T-ADV-031394,C-ADV-01848,2023-02-25,22.87,Tech
T-ADV-036257,C-ADV-02126,2023-02-25,23.3,Health
T-ADV-027602,C-ADV-01623,2023-02-25,161.41,Grocery
T-ADV-022192,C-ADV-01325,2023-02-25,59.9,Home
T-ADV-017719,C-ADV-01056,2023-02-25,28.42,Fashion
T-ADV-002773,C-ADV-00168,2023-02-25,110.26,Health
T-ADV-012067,C-ADV-00719,2023-02-25,27.75,Tech
T-ADV-050891,C-ADV-02997,2023-02-25,503.22,Tech
T-ADV-040275,C-ADV-02365,2023-02-26,53.68,Health
T-ADV-019021,C-ADV-01135,2023-02-26,138.04,Home
T-ADV-035989,C-ADV-02111,2023-02-26,42.79,Grocery
T-ADV-006777,C-ADV-00412,2023-02-26,69.03,Fashion
T-ADV-044674,C-ADV-02630,2023-02-26,44.55,Tech
T-ADV-010333,C-ADV-00620,2023-02-26,85.88,Fashion
T-ADV-038401,C-ADV-02254,2023-02-26,9.5,Fashion
T-ADV-030111,C-ADV-01769,2023-02-26,109.82,Fashion
T-ADV-014756,C-ADV-00875,2023-02-26,95.31,Health
T-ADV-003831,C-ADV-00234,2023-02-26,49.94,Fashion
T-ADV-027262,C-ADV-01607,2023-02-26,7.53,Tech
T-ADV-032218,C-ADV-01893,2023-02-27,31.29,Tech
T-ADV-050477,C-ADV-02973,2023-02-27,88.99,Fashion
T-ADV-044412,C-ADV-02613,2023-02-27,78.11,Home
T-ADV-042126,C-ADV-02476,2023-02-27,159.61,Fashion
T-ADV-048291,C-ADV-02849,2023-02-27,181.96,Fashion
T-ADV-034652,C-ADV-02038,2023-02-27,46.84,Fashion
T-ADV-036046,C-ADV-02114,2023-02-27,43.18,Tech
T-ADV-012706,C-ADV-00761,2023-02-27,32.36,Grocery
T-ADV-010343,C-ADV-00621,2023-02-27,48.43,Grocery
T-ADV-008008,C-ADV-00488,2023-02-27,39.17,Grocery
T-ADV-034393,C-ADV-02024,2023-02-27,33.15,Tech
T-ADV-043389,C-ADV-02554,2023-02-27,54.91,Health
T-ADV-050634,C-ADV-02982,2023-02-27,480.95,Home
T-ADV-027025,C-ADV-01593,2023-02-27,59.91,Tech
T-ADV-018615,C-ADV-01109,2023-02-27,54.67,Fashion
T-ADV-011055,C-ADV-00666,2023-02-28,106.03,Tech
T-ADV-032936,C-ADV-01937,2023-02-28,463.41,Health
T-ADV-009972,C-ADV-00599,2023-02-28,66.73,Tech
T-ADV-046672,C-ADV-02753,2023-02-28,31.86,Home
T-ADV-039232,C-ADV-02304,2023-02-28,49.48,Grocery
T-ADV-030713,C-ADV-01801,2023-02-28,46.1,Home
T-ADV-015089,C-ADV-00895,2023-02-28,11.76,Home
T-ADV-032495,C-ADV-01909,2023-02-28,62.99,Grocery
T-ADV-020326,C-ADV-01208,2023-02-28,63.01,Home
T-ADV-042668,C-ADV-02510,2023-03-01,75.84,Tech
T-ADV-011025,C-ADV-00666,2023-03-01,65.23,Health
T-ADV-050099,C-ADV-02952,2023-03-01,291.07,Health
T-ADV-012142,C-ADV-00723,2023-03-01,303.12,Health
T-ADV-027984,C-ADV-01642,2023-03-01,222.39,Fashion
T-ADV-004860,C-ADV-00294,2023-03-01,81.04,Home
T-ADV-007884,C-ADV-00480,2023-03-01,44.92,Fashion
T-ADV-011421,C-ADV-00685,2023-03-01,54.99,Fashion
T-ADV-044882,C-ADV-02646,2023-03-01,10.96,Tech
T-ADV-026789,C-ADV-01579,2023-03-01,77.13,Health
T-ADV-030310,C-ADV-01779,2023-03-01,22.88,Health
T-ADV-050732,C-ADV-02986,2023-03-02,105.01,Home
T-ADV-002916,C-ADV-00177,2023-03-02,261.66,Health
T-ADV-043785,C-ADV-02578,2023-03-02,8.86,Grocery
T-ADV-004141,C-ADV-00249,2023-03-02,21.35,Fashion
T-ADV-048895,C-ADV-02884,2023-03-02,145.12,Fashion
T-ADV-025941,C-ADV-01534,2023-03-02,137.85,Tech
T-ADV-040938,C-ADV-02405,2023-03-02,80.18,Fashion
T-ADV-011761,C-ADV-00702,2023-03-02,315.51,Fashion
T-ADV-047732,C-ADV-02816,2023-03-02,8.16,Fashion
T-ADV-001969,C-ADV-00113,2023-03-02,60.79,Fashion
T-ADV-001137,C-ADV-00072,2023-03-02,48.21,Grocery
T-ADV-034323,C-ADV-02021,2023-03-03,42.68,Grocery
T-ADV-007123,C-ADV-00435,2023-03-03,47.0,Health
T-ADV-050629,C-ADV-02982,2023-03-03,362.67,Health
T-ADV-010942,C-ADV-00662,2023-03-03,25.4,Health
T-ADV-002642,C-ADV-00160,2023-03-03,416.48,Fashion
T-ADV-036000,C-ADV-02112,2023-03-03,152.34,Home
T-ADV-041865,C-ADV-02458,2023-03-03,27.04,Home
T-ADV-031840,C-ADV-01872,2023-03-03,130.72,Fashion
T-ADV-013139,C-ADV-00781,2023-03-03,15.58,Fashion
T-ADV-033130,C-ADV-01950,2023-03-03,138.08,Home
T-ADV-038552,C-ADV-02262,2023-03-03,68.53,Home
T-ADV-008771,C-ADV-00529,2023-03-03,69.39,Home
T-ADV-036417,C-ADV-02137,2023-03-03,11.78,Home
T-ADV-028667,C-ADV-01683,2023-03-04,60.27,Health
T-ADV-040946,C-ADV-02405,2023-03-04,153.71,Home
T-ADV-001728,C-ADV-00101,2023-03-04,11.54,Home
T-ADV-003429,C-ADV-00210,2023-03-04,57.78,Fashion
T-ADV-025081,C-ADV-01487,2023-03-04,93.97,Health
T-ADV-003744,C-ADV-00227,2023-03-05,160.17,Home
T-ADV-009650,C-ADV-00582,2023-03-05,295.65,Home
T-ADV-041002,C-ADV-02409,2023-03-05,5.19,Tech
T-ADV-011860,C-ADV-00707,2023-03-05,37.38,Fashion
T-ADV-026054,C-ADV-01539,2023-03-05,39.98,Grocery
T-ADV-042662,C-ADV-02510,2023-03-05,83.5,Tech
T-ADV-020182,C-ADV-01199,2023-03-05,53.0,Health
T-ADV-019645,C-ADV-01166,2023-03-05,74.39,Health
T-ADV-010990,C-ADV-00664,2023-03-05,153.32,Grocery
T-ADV-012727,C-ADV-00761,2023-03-05,37.42,Tech
T-ADV-013297,C-ADV-00789,2023-03-06,45.27,Grocery
T-ADV-011230,C-ADV-00674,2023-03-06,31.66,Health
T-ADV-017169,C-ADV-01021,2023-03-06,41.48,Health
T-ADV-022186,C-ADV-01325,2023-03-06,59.18,Tech
T-ADV-041070,C-ADV-02412,2023-03-06,370.36,Health
T-ADV-049692,C-ADV-02927,2023-03-06,41.01,Tech
T-ADV-019537,C-ADV-01161,2023-03-06,499.41,Home
T-ADV-020790,C-ADV-01237,2023-03-06,46.7,Health
T-ADV-027060,C-ADV-01595,2023-03-06,37.32,Home
T-ADV-004010,C-ADV-00243,2023-03-06,108.28,Grocery
T-ADV-046106,C-ADV-02721,2023-03-06,97.32,Grocery
T-ADV-001807,C-ADV-00104,2023-03-06,432.16,Home
T-ADV-037545,C-ADV-02208,2023-03-06,23.85,Fashion
T-ADV-006621,C-ADV-00403,2023-03-06,26.46,Tech
T-ADV-040223,C-ADV-02363,2023-03-06,157.77,Grocery
T-ADV-041834,C-ADV-02457,2023-03-06,18.6,Fashion
T-ADV-044071,C-ADV-02595,2023-03-06,23.85,Home
T-ADV-003119,C-ADV-00191,2023-03-07,288.39,Fashion
T-ADV-006923,C-ADV-00421,2023-03-07,125.39,Fashion
T-ADV-045795,C-ADV-02699,2023-03-07,58.08,Health
